tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1381988286235828225,Adnan Sami,AdnanSamiLive,1,@meShital_ 🙏💖😊,2021-04-13 21:29:28.556538,2021-04-13 15:10:58+00:00,2,[],28725,,Twitter for iPhone,None,None,None
1381988185589350405,Adnan Sami,AdnanSamiLive,4,RT @meShital_: @AdnanSamiLive sir...  One of the best memories from childhood days...😇♥️ https://t.co/JT8hYy3iBV,2021-04-13 21:29:28.556538,2021-04-13 15:10:34+00:00,0,[],28725,,Twitter for iPhone,@AdnanSamiLive sir...  One of the best memories from childhood days...😇♥️ https://t.co/JT8hYy3iBV,None,None
1381977144507650050,Adnan Sami,AdnanSamiLive,0,"“Jithe di Khotii uthe aaN Khaloti!!”
...Baaz nahin aingay!!!😒
#MaskUp #SocialDistance https://t.co/uDjl61h8gy",2021-04-13 21:29:28.556538,2021-04-13 14:26:41+00:00,36,"[{'text': 'MaskUp', 'indices': [62, 69]}, {'text': 'SocialDistance', 'indices': [70, 85]}]",28725,,Twitter for iPhone,None,None,None
1381888246762762247,Adnan Sami,AdnanSamiLive,19,"Wishing a blessed #NewYear to everyone. May we all be blessed with good fortune in every sphere of life. 
I especially pray that God showers His mercy upon us &amp; frees us from this pandemic &amp; grants us all good health.🙏
#HappyUgadi #GudiPadwa #Baisakhi #Navaratri #हिन्दू_नववर् https://t.co/Ze939RgT3H",2021-04-13 21:29:28.556538,2021-04-13 08:33:26+00:00,254,"[{'text': 'NewYear', 'indices': [18, 26]}, {'text': 'HappyUgadi', 'indices': [227, 238]}, {'text': 'GudiPadwa', 'indices': [239, 249]}, {'text': 'Baisakhi', 'indices': [250, 259]}, {'text': 'Navaratri', 'indices': [260, 270]}, {'text': 'हिन्दू_नववर्', 'indices': [271, 284]}]",28725,,Twitter for iPhone,None,None,None
1381730195430850570,Adnan Sami,AdnanSamiLive,3,I’m so deeply touched. Lots of love...May God bless you always! 🙏💖🤗 https://t.co/TI8b9xnIhb,2021-04-13 21:29:28.556538,2021-04-12 22:05:24+00:00,64,[],28725,,Twitter for iPhone,None,None,None
1381640272816316416,Adnan Sami,AdnanSamiLive,12,"Wishing Everyone ’Ramadan Kareem’!!

Time to cleanse, reflect &amp; fast for most...🤲💖🤗

Time to be “over-the-top-hypocritically-religious for one month &amp; then back to shameless sinning” for others!!😇😁

...Whatever is your Jam, Mubarak to you!🙏💖😄 https://t.co/oYtxLPrt81",2021-04-13 21:29:28.556538,2021-04-12 16:08:05+00:00,188,[],28725,,Twitter for iPhone,None,None,None
1381535052127932417,Adnan Sami,AdnanSamiLive,1,@kalsoomzeb Bohot pyar behen!💖🤗,2021-04-13 21:29:28.556538,2021-04-12 09:09:58+00:00,13,[],28725,,Twitter for iPhone,None,None,None
1381534918648401920,Adnan Sami,AdnanSamiLive,3,RT @kalsoomzeb: بہت خوب ـ خوش قسمت ھندوستان اور بد قسمت پاکستان کیسے کیسے ھیرے ھم نے اپنے ہاتھوں گنوا دیے کاش اپنی کو تاہیوں کا ازالہ یہ لو…,2021-04-13 21:29:28.556538,2021-04-12 09:09:26+00:00,0,[],28725,,Twitter for iPhone,"بہت خوب ـ خوش قسمت ھندوستان اور بد قسمت پاکستان کیسے کیسے ھیرے ھم نے اپنے ہاتھوں گنوا دیے کاش اپنی کو تاہیوں کا ازالہ یہ لوگ کرسکتے ـ شیریں گفتار روح تک اثر کرنے والی اواز اللہ سلامت رکھے امین 
@AdnanSamiLive https://t.co/ko0AdvYMH8",None,None
1381391157272453120,Adnan Sami,AdnanSamiLive,4,Best public health message!🥕🐰😄 https://t.co/lqEXE6y5oG,2021-04-13 21:29:28.556538,2021-04-11 23:38:11+00:00,33,[],28725,,Twitter for iPhone,None,None,None
1381341781841874946,Adnan Sami,AdnanSamiLive,37,Having fun with the incredible Sudesh Bhosle!! https://t.co/e90D9z96sU,2021-04-13 21:29:28.556538,2021-04-11 20:21:59+00:00,570,[],28725,,Twitter for iPhone,None,None,None
1381196524110159873,Adnan Sami,AdnanSamiLive,19,Such people reassure us that WE are normal!!!! https://t.co/2tt08ljusx,2021-04-13 21:29:28.556538,2021-04-11 10:44:47+00:00,259,[],28725,,Twitter for iPhone,None,None,None
1381004596643049473,Adnan Sami,AdnanSamiLive,63,Been there!😄 https://t.co/5V7fpJPvMd,2021-04-13 21:29:28.556538,2021-04-10 22:02:08+00:00,1083,[],28725,,Twitter for iPhone,None,None,None
1380675053315055617,Adnan Sami,AdnanSamiLive,8,"RIP DMX... 🙏
Gone too soon! 
#DMX https://t.co/mx0bfqDIID",2021-04-13 21:29:28.556538,2021-04-10 00:12:39+00:00,173,"[{'text': 'DMX', 'indices': [29, 33]}]",28725,,Twitter for iPhone,None,None,None
1380511555763236868,Adnan Sami,AdnanSamiLive,0,"When Prince Philip and HM Queen Elizabeth visited my school ‘Rugby’.

#RugbySchool 
 https://t.co/PA56lbQMcr",2021-04-13 21:29:28.556538,2021-04-09 13:22:58+00:00,55,"[{'text': 'RugbySchool', 'indices': [70, 82]}]",28725,,Twitter for iPhone,None,None,None
1380510283106500611,Adnan Sami,AdnanSamiLive,5,"RT @RugbySchool1567: May His Royal Highness The Prince Philip, Duke of Edinburgh rest in peace

As a school, we were fortunate to welcome h…",2021-04-13 21:29:28.556538,2021-04-09 13:17:54+00:00,0,[],28725,,Twitter for iPhone,"May His Royal Highness The Prince Philip, Duke of Edinburgh rest in peace

As a school, we were fortunate to welcome him and Her Majesty The Queen in May 1967

#wholepersonwholepoint https://t.co/SENmPtDf1Y",None,None
1380509782713507843,Adnan Sami,AdnanSamiLive,2,"RIP...🙏
#PrincePhilip https://t.co/TOSlgovVTx",2021-04-13 21:29:28.556538,2021-04-09 13:15:55+00:00,194,"[{'text': 'PrincePhilip', 'indices': [8, 21]}]",28725,,Twitter for iPhone,None,None,None
1380236777982672896,Adnan Sami,AdnanSamiLive,2,🤦‍♂️🤷‍♂️ https://t.co/Rcrpqpwczp,2021-04-13 21:29:28.556538,2021-04-08 19:11:06+00:00,57,[],28725,,Twitter for iPhone,None,None,None
1380235987775799302,Adnan Sami,AdnanSamiLive,2,"Lol!!
 https://t.co/U07diT85On",2021-04-13 21:29:28.556538,2021-04-08 19:07:57+00:00,34,[],28725,,Twitter for iPhone,None,None,None
