tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1376549306216280064,Daisy Shah,ShahDaisy25,2,"Made some new friends today. 😇
.
.
.
#daisyshah #dowhatmakesyouhappy #sharethelove 🌈 https://t.co/F5xjO9S0rr",2021-04-13 21:40:13.737458,2021-03-29 14:58:24+00:00,134,"[{'text': 'daisyshah', 'indices': [37, 47]}, {'text': 'dowhatmakesyouhappy', 'indices': [48, 68]}, {'text': 'sharethelove', 'indices': [69, 82]}]",1369,,Instagram,None,None,None
1375853752846929924,Daisy Shah,ShahDaisy25,16,"🧜‍♀️ 
.
.
#Filmfare2021 
.
.
#daisyshah #justbeyou #livelovelaugh https://t.co/IxSW2a0O0u",2021-04-13 21:40:13.737458,2021-03-27 16:54:31+00:00,559,"[{'text': 'Filmfare2021', 'indices': [10, 23]}, {'text': 'daisyshah', 'indices': [29, 39]}, {'text': 'justbeyou', 'indices': [40, 50]}, {'text': 'livelovelaugh', 'indices': [51, 65]}]",1369,,Twitter for Android,None,None,None
1371389598518050818,Daisy Shah,ShahDaisy25,17,"Pls stop using social media as a platform to create fake news and publicity... 
It can destroy someone's life.
Justice must be served irrespective of the gender.
#ZomatoDeliveryboy",2021-04-13 21:40:13.737458,2021-03-15 09:15:34+00:00,215,"[{'text': 'ZomatoDeliveryboy', 'indices': [162, 180]}]",1369,,Twitter for Android,None,None,None
1369913214910144518,Daisy Shah,ShahDaisy25,3,Thank you 🙏😇 https://t.co/qHkHcqK8BA,2021-04-13 21:40:13.737458,2021-03-11 07:28:56+00:00,83,[],1369,,Twitter for iPhone,None,None,None
1360833231411507200,Daisy Shah,ShahDaisy25,19,"Remembering our bravehearts of #PulwamaAttack
The nation will never forget your supreme sacrifice 
Always indebted 🙏
#BlackDay https://t.co/g1PBZklVeQ",2021-04-13 21:40:13.737458,2021-02-14 06:08:20+00:00,262,"[{'text': 'PulwamaAttack', 'indices': [31, 45]}, {'text': 'BlackDay', 'indices': [117, 126]}]",1369,,Twitter for Android,None,None,None
1359080738709147652,Daisy Shah,ShahDaisy25,8,"Saddened to hear about the demise of Shri #RajivKapoor ji.
My deepest condolences to the Kapoor family. 🙏",2021-04-13 21:40:13.737458,2021-02-09 10:04:33+00:00,245,"[{'text': 'RajivKapoor', 'indices': [42, 54]}]",1369,,Twitter for Android,None,None,None
1344642815746334721,Daisy Shah,ShahDaisy25,7,"Checklist for 2021‼️
Good vibes,
Bigger goals,
Stronger relationships,
More happiness,
Better experiences,
N More focused ever.
.
.
.
#daisyshah #sunsetglow #welcome2021 😇 @ Peace and love https://t.co/BltbLnQjY2",2021-04-13 21:40:13.737458,2020-12-31 13:53:24+00:00,129,"[{'text': 'daisyshah', 'indices': [134, 144]}, {'text': 'sunsetglow', 'indices': [145, 156]}, {'text': 'welcome2021', 'indices': [157, 169]}]",1369,,Instagram,None,None,None
1344535849346633730,Daisy Shah,ShahDaisy25,8,"Hey everyone..!! A new vlog from the maldives series is now out on my Youtube channel... Go check out and leave your conments below! 
Full video link - https://t.co/8cofgFXzbm

@YouTubeIndia @YTCreatorsIndia https://t.co/mAQmQENsgo",2021-04-13 21:40:13.737458,2020-12-31 06:48:21+00:00,232,[],1369,,Twitter for Android,None,None,None
1342345876379901952,Daisy Shah,ShahDaisy25,6,"New video alert!!! 
Maldives vlog | Day 2 and 3| out on my Youtube channel
Link - https://t.co/rkAZDfwBhB
@YouTubeIndia https://t.co/r0GG7znIHY",2021-04-13 21:40:13.737458,2020-12-25 05:46:11+00:00,174,[],1369,,Twitter for Android,None,None,None
1339450613969534976,Daisy Shah,ShahDaisy25,6,"Heyyy everyone!! The first part of the Maldives Vlogs is out now...!  Do check out and let me know..! 
Video link - https://t.co/GRAMy9B5aL
@YouTubeIndia https://t.co/AEFzVan0eW",2021-04-13 21:40:13.737458,2020-12-17 06:01:26+00:00,170,[],1369,,Twitter for Android,None,None,None
