tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1382541660718915585,Dr. Ganapathi Pulipaka,gp_pulipaka,2,"Look towards (British), Look toward (American).",2021-04-15 13:06:35.156870,2021-04-15 03:49:52+00:00,4,[],62151,,Twitter for iPhone,None,None,None
1382530999041495043,Dr. Ganapathi Pulipaka,gp_pulipaka,10,No.  I don't have time to maintain any time tracking apps.  I've conferences on Thursday and Friday and I've an appointment on Friday.  I'm looking toward Monday right now. https://t.co/1dfYAI4Wtv,2021-04-15 13:06:35.156870,2021-04-15 03:07:31+00:00,18,[],62151,,Twitter for iPhone,None,None,None
1382528368424460297,Dr. Ganapathi Pulipaka,gp_pulipaka,27,"#AI Best: Join Me Tomorrow for #DataScience and #MachineLearning  w/ @DataSciConnect. #BigData #Analytics #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/qxqcYdsc1S https://t.co/gbfXlTrqtW",2021-04-15 13:06:35.156870,2021-04-15 02:57:03+00:00,13,"[{'text': 'AI', 'indices': [0, 3]}, {'text': 'DataScience', 'indices': [31, 43]}, {'text': 'MachineLearning', 'indices': [48, 64]}, {'text': 'BigData', 'indices': [86, 94]}, {'text': 'Analytics', 'indices': [95, 105]}, {'text': 'IoT', 'indices': [106, 110]}, {'text': 'IIoT', 'indices': [111, 116]}, {'text': 'Python', 'indices': [117, 124]}, {'text': 'RStats', 'indices': [125, 132]}, {'text': 'TensorFlow', 'indices': [133, 144]}, {'text': 'JavaScript', 'indices': [145, 156]}, {'text': 'ReactJS', 'indices': [157, 165]}, {'text': 'CloudComputing', 'indices': [166, 181]}, {'text': 'Serverless', 'indices': [182, 193]}, {'text': 'DataScientist', 'indices': [194, 208]}, {'text': 'Linux', 'indices': [209, 215]}, {'text': 'Programming', 'indices': [216, 228]}, {'text': 'Coding', 'indices': [229, 236]}, {'text': '100DaysofCode', 'indices': [237, 251]}]",62151,,Buffer,None,None,None
1382523836869009408,Dr. Ganapathi Pulipaka,gp_pulipaka,42,"Best #Books To Learn Machine Learning For Beginners And Experts. #BigData #Analytics #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/7nlCMysGFs https://t.co/aPI3RZ0eIF",2021-04-15 13:06:35.156870,2021-04-15 02:39:03+00:00,20,"[{'text': 'Books', 'indices': [5, 11]}, {'text': 'BigData', 'indices': [65, 73]}, {'text': 'Analytics', 'indices': [74, 84]}, {'text': 'DataScience', 'indices': [85, 97]}, {'text': 'IoT', 'indices': [98, 102]}, {'text': 'IIoT', 'indices': [103, 108]}, {'text': 'Python', 'indices': [109, 116]}, {'text': 'RStats', 'indices': [117, 124]}, {'text': 'TensorFlow', 'indices': [125, 136]}, {'text': 'Java', 'indices': [137, 142]}, {'text': 'JavaScript', 'indices': [143, 154]}, {'text': 'ReactJS', 'indices': [155, 163]}, {'text': 'CloudComputing', 'indices': [164, 179]}, {'text': 'Serverless', 'indices': [180, 191]}, {'text': 'DataScientist', 'indices': [192, 206]}, {'text': 'Linux', 'indices': [207, 213]}, {'text': 'Programming', 'indices': [214, 226]}, {'text': 'Coding', 'indices': [227, 234]}, {'text': '100DaysofCode', 'indices': [235, 249]}]",62151,,Buffer,None,None,None
1382522580624621569,Dr. Ganapathi Pulipaka,gp_pulipaka,42,"What Is a Gradient in Machine Learning? #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/fulfO7JVZs https://t.co/9z6EcUDPI1",2021-04-15 13:06:35.156870,2021-04-15 02:34:03+00:00,22,"[{'text': 'BigData', 'indices': [40, 48]}, {'text': 'Analytics', 'indices': [49, 59]}, {'text': 'DataScience', 'indices': [60, 72]}, {'text': 'AI', 'indices': [73, 76]}, {'text': 'MachineLearning', 'indices': [77, 93]}, {'text': 'IoT', 'indices': [94, 98]}, {'text': 'IIoT', 'indices': [99, 104]}, {'text': 'PyTorch', 'indices': [105, 113]}, {'text': 'Python', 'indices': [114, 121]}, {'text': 'RStats', 'indices': [122, 129]}, {'text': 'TensorFlow', 'indices': [130, 141]}, {'text': 'Java', 'indices': [142, 147]}, {'text': 'JavaScript', 'indices': [148, 159]}, {'text': 'ReactJS', 'indices': [160, 168]}, {'text': 'CloudComputing', 'indices': [169, 184]}, {'text': 'Serverless', 'indices': [185, 196]}, {'text': 'DataScientist', 'indices': [197, 211]}, {'text': 'Linux', 'indices': [212, 218]}, {'text': 'Programming', 'indices': [219, 231]}, {'text': 'Coding', 'indices': [232, 239]}, {'text': '100DaysofCode', 'indices': [240, 254]}]",62151,,Buffer,None,None,None
1382517040402075649,Dr. Ganapathi Pulipaka,gp_pulipaka,20,"Regression Analysis in #PostgreSQL Part 2. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode
https://t.co/tJoBSguNLe https://t.co/dSeqvhLQ4D",2021-04-15 13:06:35.156870,2021-04-15 02:12:03+00:00,14,"[{'text': 'PostgreSQL', 'indices': [23, 34]}, {'text': 'BigData', 'indices': [43, 51]}, {'text': 'Analytics', 'indices': [52, 62]}, {'text': 'DataScience', 'indices': [63, 75]}, {'text': 'AI', 'indices': [76, 79]}, {'text': 'MachineLearning', 'indices': [80, 96]}, {'text': 'IoT', 'indices': [97, 101]}, {'text': 'IIoT', 'indices': [102, 107]}, {'text': 'Python', 'indices': [108, 115]}, {'text': 'RStats', 'indices': [116, 123]}, {'text': 'TensorFlow', 'indices': [124, 135]}, {'text': 'Java', 'indices': [136, 141]}, {'text': 'JavaScript', 'indices': [142, 153]}, {'text': 'ReactJS', 'indices': [154, 162]}, {'text': 'GoLang', 'indices': [163, 170]}, {'text': 'CloudComputing', 'indices': [171, 186]}, {'text': 'Serverless', 'indices': [187, 198]}, {'text': 'DataScientist', 'indices': [199, 213]}, {'text': 'Linux', 'indices': [214, 220]}, {'text': 'Programming', 'indices': [221, 233]}, {'text': 'Coding', 'indices': [234, 241]}, {'text': '100DaysofCode', 'indices': [242, 256]}]",62151,,Buffer,None,None,None
1382514276292820992,Dr. Ganapathi Pulipaka,gp_pulipaka,44,"AI and Convolutional Neural Networks. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/EMlfzZFFsp https://t.co/wWbhW8MMot",2021-04-15 13:06:35.156870,2021-04-15 02:01:03+00:00,32,"[{'text': 'BigData', 'indices': [38, 46]}, {'text': 'Analytics', 'indices': [47, 57]}, {'text': 'DataScience', 'indices': [58, 70]}, {'text': 'AI', 'indices': [71, 74]}, {'text': 'MachineLearning', 'indices': [75, 91]}, {'text': 'IoT', 'indices': [92, 96]}, {'text': 'IIoT', 'indices': [97, 102]}, {'text': 'PyTorch', 'indices': [103, 111]}, {'text': 'Python', 'indices': [112, 119]}, {'text': 'RStats', 'indices': [120, 127]}, {'text': 'TensorFlow', 'indices': [128, 139]}, {'text': 'Java', 'indices': [140, 145]}, {'text': 'JavaScript', 'indices': [146, 157]}, {'text': 'ReactJS', 'indices': [158, 166]}, {'text': 'CloudComputing', 'indices': [167, 182]}, {'text': 'Serverless', 'indices': [183, 194]}, {'text': 'DataScientist', 'indices': [195, 209]}, {'text': 'Linux', 'indices': [210, 216]}, {'text': 'Programming', 'indices': [217, 229]}, {'text': 'Coding', 'indices': [230, 237]}, {'text': '100DaysofCode', 'indices': [238, 252]}]",62151,,Buffer,None,None,None
1382511251520163843,Dr. Ganapathi Pulipaka,gp_pulipaka,50,"Best Tensor #Calculus Books in 2021. #BigData #Analytics #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Books #Mathematics #Programming #Coding #100DaysofCode 
https://t.co/oYkzDQwAgk https://t.co/v11pmS8OZa",2021-04-15 13:06:35.156870,2021-04-15 01:49:02+00:00,56,"[{'text': 'Calculus', 'indices': [12, 21]}, {'text': 'BigData', 'indices': [37, 45]}, {'text': 'Analytics', 'indices': [46, 56]}, {'text': 'DataScience', 'indices': [57, 69]}, {'text': 'IoT', 'indices': [70, 74]}, {'text': 'IIoT', 'indices': [75, 80]}, {'text': 'Python', 'indices': [81, 88]}, {'text': 'RStats', 'indices': [89, 96]}, {'text': 'TensorFlow', 'indices': [97, 108]}, {'text': 'Java', 'indices': [109, 114]}, {'text': 'JavaScript', 'indices': [115, 126]}, {'text': 'ReactJS', 'indices': [127, 135]}, {'text': 'CloudComputing', 'indices': [136, 151]}, {'text': 'Serverless', 'indices': [152, 163]}, {'text': 'DataScientist', 'indices': [164, 178]}, {'text': 'Linux', 'indices': [179, 185]}, {'text': 'Books', 'indices': [186, 192]}, {'text': 'Mathematics', 'indices': [193, 205]}, {'text': 'Programming', 'indices': [206, 218]}, {'text': 'Coding', 'indices': [219, 226]}, {'text': '100DaysofCode', 'indices': [227, 241]}]",62151,,Buffer,None,None,None
1382508739253653508,Dr. Ganapathi Pulipaka,gp_pulipaka,36,"Distilling Wikipedia #Mathematics Into Neural Networks. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/e1qiSfoeiM https://t.co/YSt0iuwtOX",2021-04-15 13:06:35.156870,2021-04-15 01:39:03+00:00,22,"[{'text': 'Mathematics', 'indices': [21, 33]}, {'text': 'BigData', 'indices': [56, 64]}, {'text': 'Analytics', 'indices': [65, 75]}, {'text': 'DataScience', 'indices': [76, 88]}, {'text': 'AI', 'indices': [89, 92]}, {'text': 'MachineLearning', 'indices': [93, 109]}, {'text': 'IoT', 'indices': [110, 114]}, {'text': 'IIoT', 'indices': [115, 120]}, {'text': 'Python', 'indices': [121, 128]}, {'text': 'RStats', 'indices': [129, 136]}, {'text': 'TensorFlow', 'indices': [137, 148]}, {'text': 'JavaScript', 'indices': [149, 160]}, {'text': 'ReactJS', 'indices': [161, 169]}, {'text': 'CloudComputing', 'indices': [170, 185]}, {'text': 'Serverless', 'indices': [186, 197]}, {'text': 'DataScientist', 'indices': [198, 212]}, {'text': 'Linux', 'indices': [213, 219]}, {'text': 'Programming', 'indices': [220, 232]}, {'text': 'Coding', 'indices': [233, 240]}, {'text': '100DaysofCode', 'indices': [241, 255]}]",62151,,Buffer,None,None,None
1382507480077455364,Dr. Ganapathi Pulipaka,gp_pulipaka,43,"Deep Learning Models for #BioInformatics Spectral Information. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #Linux #Programming #Coding #100DaysofCode 
https://t.co/hVsmyXkj3G https://t.co/Jije0INb7T",2021-04-15 13:06:35.156870,2021-04-15 01:34:03+00:00,29,"[{'text': 'BioInformatics', 'indices': [25, 40]}, {'text': 'BigData', 'indices': [63, 71]}, {'text': 'Analytics', 'indices': [72, 82]}, {'text': 'DataScience', 'indices': [83, 95]}, {'text': 'AI', 'indices': [96, 99]}, {'text': 'MachineLearning', 'indices': [100, 116]}, {'text': 'IoT', 'indices': [117, 121]}, {'text': 'IIoT', 'indices': [122, 127]}, {'text': 'Python', 'indices': [128, 135]}, {'text': 'RStats', 'indices': [136, 143]}, {'text': 'TensorFlow', 'indices': [144, 155]}, {'text': 'JavaScript', 'indices': [156, 167]}, {'text': 'ReactJS', 'indices': [168, 176]}, {'text': 'CloudComputing', 'indices': [177, 192]}, {'text': 'Serverless', 'indices': [193, 204]}, {'text': 'Linux', 'indices': [205, 211]}, {'text': 'Programming', 'indices': [212, 224]}, {'text': 'Coding', 'indices': [225, 232]}, {'text': '100DaysofCode', 'indices': [233, 247]}]",62151,,Buffer,None,None,None
