tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1371735573841342466,Farah Khan,FarahKhanAli,2,"Farah Khan Ali, DJ Aqeel announce separation https://t.co/L1fiRqtGvZ 
🙏🙏🙏",2021-04-13 21:33:44.689299,2021-03-16 08:10:21+00:00,86,[],74493,,Twitter for iPhone,None,None,None
1371734576603656194,Farah Khan,FarahKhanAli,35,RT @DesiPoliticks: If you felt terribly disappointed and helpless watching Asif brutally thrashed by RW goons and want to do more than #Sor…,2021-04-13 21:33:44.689299,2021-03-16 08:06:23+00:00,0,[],74493,,Twitter for iPhone,"If you felt terribly disappointed and helpless watching Asif brutally thrashed by RW goons and want to do more than #SorryAsif then check this crowdfunding campaign by @zoo_bear to help Asif.

P.S: @ketto is charging 0% platform fee for this fundraiser.
https://t.co/VfKvLTaG7n",None,None
1371063205498261516,Farah Khan,FarahKhanAli,0,@fs0c131y 😜😂,2021-04-13 21:33:44.689299,2021-03-14 11:38:35+00:00,7,[],74493,,Twitter for iPhone,None,None,None
1370751132457299972,Farah Khan,FarahKhanAli,24,A true leader is willing to put themselves at the stake of saving their people. @MamataOfficial is an Iron Lady . May her tribe increase. 🙏👏 https://t.co/rnjck72Tac,2021-04-13 21:33:44.689299,2021-03-13 14:58:31+00:00,198,[],74493,,Twitter for iPad,None,None,None
1370749794755387394,Farah Khan,FarahKhanAli,9,"To anyone who supports this sick state of affairs or sees reason, the poison is not the ones who rule in the name of religion but the ones like you who support those that do. You are the venom of society that fans the Snake. Just remember one day the snake may bite you . Sick 😡 https://t.co/1MsfHs7iOp",2021-04-13 21:33:44.689299,2021-03-13 14:53:13+00:00,59,[],74493,,Twitter for iPad,None,None,None
1369943095903617030,Farah Khan,FarahKhanAli,9,Happy Mahashivratri to one and all. 🤗🙏,2021-04-13 21:33:44.689299,2021-03-11 09:27:41+00:00,321,[],74493,,Twitter for iPhone,None,None,None
1368920391146639360,Farah Khan,FarahKhanAli,10,Amazing 🤩👇 https://t.co/bLmGHekppp,2021-04-13 21:33:44.689299,2021-03-08 13:43:49+00:00,90,[],74493,,Twitter for iPhone,None,None,None
1368216794721320960,Farah Khan,FarahKhanAli,1,@RichaChadha 😍😍😍,2021-04-13 21:33:44.689299,2021-03-06 15:07:58+00:00,41,[],74493,,Twitter for iPhone,None,None,None
1364426337750970368,Farah Khan,FarahKhanAli,399,RT @Reuters: Tiger Woods was rushed to a Los Angeles hospital after suffering multiple injuries when his car went off a road and rolled ove…,2021-04-13 21:33:44.689299,2021-02-24 04:06:03+00:00,0,[],74493,,Twitter for iPhone,Tiger Woods was rushed to a Los Angeles hospital after suffering multiple injuries when his car went off a road and rolled over https://t.co/Ap3xXL2GUI https://t.co/8v5uWccb81,None,None
1364426134000082948,Farah Khan,FarahKhanAli,297,"RT @Reuters: Tiger Woods badly hurt in car crash, expected to survive https://t.co/11HaTAZH4A https://t.co/YIf2Q499qe",2021-04-13 21:33:44.689299,2021-02-24 04:05:14+00:00,0,[],74493,,Twitter for iPhone,"Tiger Woods badly hurt in car crash, expected to survive https://t.co/11HaTAZH4A https://t.co/YIf2Q499qe",None,None
