tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1381942092583215110,Karan Johar,karanjohar,43,There have been lots of speculations and conjectures on The casting of Sharan Sharma’s next film for @DharmaMovies... just want to specify that the cast of the film hasn’t been locked as the screenplay is being finalised as we speak.... please wait for an official announcement.,2021-04-15 13:14:02.220706,2021-04-13 12:07:24+00:00,1560,[],10878,,Twitter for iPhone,None,None,None
1381889043084963840,Karan Johar,karanjohar,42,On this auspicious day I pray for everyone’s good Heath.... peace of mind and prosperity.... big love always ....🙏🙏🙏 https://t.co/AdR3Qw8Iq4,2021-04-15 13:14:02.220706,2021-04-13 08:36:36+00:00,1164,[],10878,,Twitter for iPhone,None,None,None
1381566665918271491,Karan Johar,karanjohar,16,"RT @DharmaMovies: ""The triumph of director Sharan Sharma’s crafty biopic lies in how it reveals Gunjan Saxena as someone whose legacy is an…",2021-04-15 13:14:02.220706,2021-04-12 11:15:36+00:00,0,[],10878,,Twitter for iPhone,"""The triumph of director Sharan Sharma’s crafty biopic lies in how it reveals Gunjan Saxena as someone whose legacy is an incidental consequence of her individualism.""

#GunjanSaxena - The Kargil Girl featured by @FilmCompanion.

https://t.co/TaXX5NpUgG",None,None
1381480467874992129,Karan Johar,karanjohar,39,"You've seen her, you've heard her and you've definitely heard about her. Now she's here to tell you her own story. #SearchingforSheela streaming from 22nd April, only on Netflix.

@apoorvamehta18 #MaAnandSheela @shakunbatra @aneeshabaig @dharmatic_ #jouskafilms @netflixindia https://t.co/RGm6bHiDXd",2021-04-15 13:14:02.220706,2021-04-12 05:33:04+00:00,494,"[{'text': 'SearchingforSheela', 'indices': [115, 134]}, {'text': 'MaAnandSheela', 'indices': [196, 210]}, {'text': 'jouskafilms', 'indices': [249, 261]}]",10878,,Twitter for iPhone,None,None,None
1381464050555445251,Karan Johar,karanjohar,47,"This story is about an iconic woman, who blazed a trail across the globe...finally returning home. #SearchingForSheela trailer out today at 11am. Stay tuned!

@apoorvamehta18 #MaAnandSheela @shakunbatra @aneeshabaig @dharmatic_ #jouskafilms @netflixindia https://t.co/UgKJTWbnOV",2021-04-15 13:14:02.220706,2021-04-12 04:27:50+00:00,1068,"[{'text': 'SearchingForSheela', 'indices': [99, 118]}, {'text': 'MaAnandSheela', 'indices': [175, 189]}, {'text': 'jouskafilms', 'indices': [228, 240]}]",10878,,Twitter for iPhone,None,None,None
1380403038720942084,Karan Johar,karanjohar,116,The musical force and wizard @arrahman turns producer with his labour of love #99songs! Can’t wait to watch this cinematic beauty! The music is already stealing hearts and so is the charismatic lead @itsEhanBhat as he marks his solid debut ! 16th April worldwide! https://t.co/Lij8AzAR8Q,2021-04-15 13:14:02.220706,2021-04-09 06:11:45+00:00,2028,"[{'text': '99songs', 'indices': [78, 86]}]",10878,,Twitter for iPhone,None,None,None
1380100774118576132,Karan Johar,karanjohar,83,#TheBigBull !!!! Can’t wait to see this tonight !! @juniorbachchan @DisneyPlusHS ! Break a leg AB❤️❤️❤️ https://t.co/zy5J9KEa4W,2021-04-15 13:14:02.220706,2021-04-08 10:10:40+00:00,2532,"[{'text': 'TheBigBull', 'indices': [0, 11]}]",10878,,Twitter for iPhone,None,None,None
1379389099044335623,Karan Johar,karanjohar,13,@charmmeofficial @apoorvamehta18 @RonitBoseRoy @meramyakrishnan @iamVishuReddy @DharmaMovies @PuriConnects,2021-04-15 13:14:02.220706,2021-04-06 11:02:43+00:00,223,[],10878,,Twitter for iPhone,None,None,None
1379389096217300992,Karan Johar,karanjohar,227,"Thrilled to have the famous Hollywood stunt choreographer #AndyLong &amp; team, who have previously choreographed the powerful moves for Jackie Chan and many other films, onboard for #LIGER! Some action packed moves are on the way!!
@TheDeverakonda @ananyapandayy #PuriJagannadh https://t.co/3WhOARa4EI",2021-04-15 13:14:02.220706,2021-04-06 11:02:43+00:00,2306,"[{'text': 'AndyLong', 'indices': [58, 67]}, {'text': 'LIGER', 'indices': [183, 189]}, {'text': 'PuriJagannadh', 'indices': [264, 278]}]",10878,,Twitter for iPhone,None,None,None
1378578034244997120,Karan Johar,karanjohar,37,https://t.co/ZKaK2VzHnH,2021-04-15 13:14:02.220706,2021-04-04 05:19:50+00:00,1878,[],10878,,Twitter for iPhone,None,None,None
1377886415296458758,Karan Johar,karanjohar,3,@aditiraohydari @ghaywan @ShefaliShah_ #ManavKaul @tota_rc @kayoze @uzmakhaniman @somenmishra0 @dharmatic_ @NetflixIndia,2021-04-15 13:14:02.220706,2021-04-02 07:31:35+00:00,149,"[{'text': 'ManavKaul', 'indices': [39, 49]}]",10878,,Twitter for iPhone,None,None,None
