tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1381861402302767106,King Mika Singh,MikaSingh,3,"RT @Divine_T: Stop hunger: begin sharing 
#divinetouchfoundation with a vision to help underprivileged people..
We will keep continuing thi…",2021-04-15 13:20:11.220640,2021-04-13 06:46:46+00:00,0,"[{'text': 'divinetouchfoundation', 'indices': [42, 64]}]",32466,,Twitter for iPhone,"Stop hunger: begin sharing 
#divinetouchfoundation with a vision to help underprivileged people..
We will keep continuing this with your love and support 🙏🏻
Google pay-7208631787
#mikasingh 
#divinetouchfoundation 
#yourlittletimecanchangelives https://t.co/V0PO3cMzz5",None,None
1381784167411720195,King Mika Singh,MikaSingh,4,"RT @musicsoundoffi1: Tomorrow it is!!
 *‘Ishq Da Rog’* 

Singer - @nikkisinghmusic
Rapper- @young.gmusic
Music - @mikasingh &amp; @param_raj5
M…",2021-04-15 13:20:11.220640,2021-04-13 01:39:52+00:00,0,[],32466,,Twitter for iPhone,"Tomorrow it is!!
 *‘Ishq Da Rog’* 

Singer - @nikkisinghmusic
Rapper- @young.gmusic
Music - @mikasingh &amp; @param_raj5
Music Producer - @MikaSingh 

Video Editor- @sahilsanon_
Thanks to for adding such amazing vibes 
Makeup- @sumenmakeup11 
Stay Tuned on @musicsoundoffi1 https://t.co/LsnC2WAy00",None,None
1381784129168044034,King Mika Singh,MikaSingh,4,"Waheguru ji ka Khalsa waheguru ji ki fateh..

AAP SAB NU BAISAKHI DIYAN LAKH LAKH MUBARKAN... 
.
.
.
.
#punjabi #indians #sikh #farmers #baisakhi 
@AseesKaur @RupaliJagga #shehnazakhtar@aslidivyakumar @ipmlofficial ... https://t.co/fwxGKf6GaA",2021-04-15 13:20:11.220640,2021-04-13 01:39:43+00:00,53,"[{'text': 'punjabi', 'indices': [103, 111]}, {'text': 'indians', 'indices': [112, 120]}, {'text': 'sikh', 'indices': [121, 126]}, {'text': 'farmers', 'indices': [127, 135]}, {'text': 'baisakhi', 'indices': [136, 145]}, {'text': 'shehnazakhtar', 'indices': [171, 185]}]",32466,,Twitter for iPhone,None,None,None
1381784125749653505,King Mika Singh,MikaSingh,5,"RT @Divine_T: Stop hunger: begin sharing 
#divinetouchfoundation with a vision to help underprivileged people..
We will keep continuing thi…",2021-04-15 13:20:11.221640,2021-04-13 01:39:42+00:00,0,"[{'text': 'divinetouchfoundation', 'indices': [42, 64]}]",32466,,Twitter for iPhone,"Stop hunger: begin sharing 
#divinetouchfoundation with a vision to help underprivileged people..
We will keep continuing this with your love and support 🙏🏻
Google pay-7208631787
#mikasingh 
#divinetouchfoundation 
#yourlittletimecanchangelives https://t.co/ruozQKIq4M",None,None
1381218506931269633,King Mika Singh,MikaSingh,3,🤗🤗🤗🤗🤗🤗🤗🤗🙏🙏🙏🙏🙏🙏🙏🙏 https://t.co/qVCP0Sb18V,2021-04-15 13:20:11.221640,2021-04-11 12:12:08+00:00,70,[],32466,,Twitter for iPhone,None,None,None
1381218422877380609,King Mika Singh,MikaSingh,11,This great song is composed by none other than @arrahman.. I have sung a mashup on tonight’s episode for the living legend.. So make sure you tune in tonight at 8:pm... https://t.co/mEctRsjH29,2021-04-15 13:20:11.221640,2021-04-11 12:11:48+00:00,89,[],32466,,Twitter for iPhone,None,None,None
1381165434901176328,King Mika Singh,MikaSingh,5,Thanxx @DelhiTimesTweet https://t.co/JbJUXYwmpS,2021-04-15 13:20:11.221640,2021-04-11 08:41:15+00:00,62,[],32466,,Twitter for iPhone,None,None,None
1381164856707969024,King Mika Singh,MikaSingh,1,All the best https://t.co/Px7K2NURGG,2021-04-15 13:20:11.221640,2021-04-11 08:38:57+00:00,37,[],32466,,Twitter for iPhone,None,None,None
1381164797186637825,King Mika Singh,MikaSingh,44,"It was so good to see the living legend @arrahman ji...
He so simple and humble ..
Big brother Thank you so much for sharing your love ..
All the best for your forth coming film #99songs I’m sure it will do wonders..@ZeeTV @ipmlofficial ... watch us tonight at 8pm.. https://t.co/nGX1gNOkax",2021-04-15 13:20:11.221640,2021-04-11 08:38:43+00:00,613,"[{'text': '99songs', 'indices': [178, 186]}]",32466,,Twitter for iPhone,None,None,None
1381160507072188418,King Mika Singh,MikaSingh,3,"Congratulations to bro @bachchan @kookievgulati @anandpandit for #thebigbull ..

Do watch #TheBigBull on #DisneyPlusHotstar. Hope you guys enjoy it!! https://t.co/R41mI717WH",2021-04-15 13:20:11.221640,2021-04-11 08:21:40+00:00,41,"[{'text': 'thebigbull', 'indices': [65, 76]}, {'text': 'TheBigBull', 'indices': [90, 101]}, {'text': 'DisneyPlusHotstar', 'indices': [105, 123]}]",32466,,Instagram,None,None,None
1380963428357971968,King Mika Singh,MikaSingh,806,"RT @SrBachchan: T 3870 -'Chupke Chupke ',with Hrishi Da,  closing in to 46 years today .. that house that you see in the pic with Jaya .. i…",2021-04-15 13:20:11.221640,2021-04-10 19:18:33+00:00,0,[],32466,,Twitter for iPhone,"T 3870 -'Chupke Chupke ',with Hrishi Da,  closing in to 46 years today .. that house that you see in the pic with Jaya .. is now Jalsa my home, bought &amp; rebuilt .. many films shot there - Anand, Namak Haram, Chupke Chupke , Satte pe Satta it was Producer NC Sippy's house , then.. https://t.co/UMKJ6OaWoK",None,None
1380963409584250880,King Mika Singh,MikaSingh,2,Wah wah Bhaaji:) rabb di Mehar hai tuhade te.. https://t.co/pcGASE4itD,2021-04-15 13:20:11.221640,2021-04-10 19:18:28+00:00,73,[],32466,,Twitter for iPhone,None,None,None
