tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1381981045369806848,Narendra Modi,narendramodi,1141,Best wishes for the holy month of Ramzan. https://t.co/mNlKCFyGlf,2021-04-13 21:00:51.931669,2021-04-13 14:42:11+00:00,8326,[],29659,,Twitter for iPhone,None,None,None
1381976719893012481,Narendra Modi,narendramodi,1132,Addressing the @raisinadialogue. https://t.co/SQY8EDvjUU,2021-04-13 21:00:51.931669,2021-04-13 14:25:00+00:00,4513,[],29659,,Twitter Media Studio,None,None,None
1381869644781338625,Narendra Modi,narendramodi,2318,Best wishes on the auspicious occasion of Baisakhi. https://t.co/UkelLgShSs,2021-04-13 21:00:51.931669,2021-04-13 07:19:31+00:00,15876,[],29659,,Twitter for iPhone,None,None,None
1381798148817907724,Narendra Modi,narendramodi,4631,"Tributes to those martyred in the Jallianwala Bagh massacre. Their courage, heroism and sacrifice gives strength to every Indian.",2021-04-13 21:00:51.931669,2021-04-13 02:35:25+00:00,28967,[],29659,,Twitter for iPhone,None,None,None
1381797345709330432,Narendra Modi,narendramodi,2395,"Greetings on Cheti Chand, particularly to the Sindhi Community. 

May the special blessings of Lord Jhulelal always remain upon us. I pray that everyone’s wishes be fulfilled in the coming year.",2021-04-13 21:00:51.931669,2021-04-13 02:32:14+00:00,11440,[],29659,,Twitter for iPhone,None,None,None
1381797158219776000,Narendra Modi,narendramodi,2283,"Navreh greetings to you all! 

On the special occassion of Navreh, praying for a year filled with joy and success. I also pray for the good health and well-being of everyone.",2021-04-13 21:00:51.931669,2021-04-13 02:31:29+00:00,11856,[],29659,,Twitter for iPhone,None,None,None
1381796505980268549,Narendra Modi,narendramodi,2275,Sajibu Cheiraoba greetings to the people of Manipur. Best wishes for a happy and healthy year ahead.,2021-04-13 21:00:51.931669,2021-04-13 02:28:54+00:00,13112,[],29659,,Twitter for iPhone,None,None,None
1381796008200310786,Narendra Modi,narendramodi,3415,Greetings on Gudi Padwa. https://t.co/4V8ya3EfZd,2021-04-13 21:00:51.931669,2021-04-13 02:26:55+00:00,18109,[],29659,,Twitter for iPhone,None,None,None
1381795001844133889,Narendra Modi,narendramodi,4245,"అందరికీ ఉగాది శుభాకాంక్షలు. ఈ కొత్త సంవత్సరం అద్భుతంగా ఉండాలని ఆశిస్తున్నాను. మీరందరూ ఆయురారోగ్యాలతో, భోగభాగ్యాలతో వర్ధిల్లాలని ప్రార్థిస్తున్నాను.",2021-04-13 21:00:51.931669,2021-04-13 02:22:55+00:00,20642,[],29659,,Twitter for iPhone,None,None,None
1381794944017264643,Narendra Modi,narendramodi,3712,ನಿಮ್ಮೆಲ್ಲರಿಗೂ ಯುಗಾದಿಯ ಶುಭಕಾಮನೆಗಳು. ಮುಂಬರುವ ವರ್ಷ ಅದ್ಭುತವಾಗಲಿ. ನೀವೆಲ್ಲರೂ ಆರೋಗ್ಯ ಹಾಗು ಸಂತಸದಿಂದಿರಿ. ಎಲ್ಲೆಡೆ ಸಮೃದ್ಧಿ ಹಾಗು ಸಂತೋಷ ಪಸರಿಸಲಿ.,2021-04-13 21:00:51.931669,2021-04-13 02:22:41+00:00,21239,[],29659,,Twitter for iPhone,None,None,None
1381794882197413889,Narendra Modi,narendramodi,2459,Wishing everyone on the special occasion of Ugadi. https://t.co/ePkdzxr3FX,2021-04-13 21:00:51.931669,2021-04-13 02:22:27+00:00,12002,[],29659,,Twitter for iPhone,None,None,None
1381794261155278849,Narendra Modi,narendramodi,6074,नवरात्रि की बहुत-बहुत शुभकामनाएं... https://t.co/xc0E1A1BKI,2021-04-13 21:00:51.931669,2021-04-13 02:19:59+00:00,33199,[],29659,,Twitter for iPhone,None,None,None
1381793783482740736,Narendra Modi,narendramodi,14131,सभी देशवासियों को नव संवत्सर की मंगलकामनाएं। यह पावन अवसर हर किसी के जीवन में हर्षोल्लास लेकर आए।,2021-04-13 21:00:51.931669,2021-04-13 02:18:05+00:00,93785,[],29659,,Twitter for iPhone,None,None,None
1381793638988980225,Narendra Modi,narendramodi,2688,"Over the next few days, people across India are going to be marking various festivals. These festivals showcase India’s diversity and the spirit of ‘Ek Bharat, Shreshtha Bharat.’ May these special occasions spread happiness, prosperity and brotherhood across the nation.",2021-04-13 21:00:51.931669,2021-04-13 02:17:30+00:00,13723,[],29659,,Twitter for iPhone,None,None,None
1381655497414115329,Narendra Modi,narendramodi,922,"RT @MEAIndia: Uniting world’s best strategic thinkers! 

The 6th edition of @raisinadialogue kicks off tomorrow. 

PM @narendramodi will ad…",2021-04-13 21:00:51.931669,2021-04-12 17:08:35+00:00,0,[],29659,,Twitter for iPhone,"Uniting world’s best strategic thinkers! 

The 6th edition of @raisinadialogue kicks off tomorrow. 

PM @narendramodi will address the inaugural session which will have President of Rwanda and Prime Minister of Denmark as the Chief Guests. 

#Raisina2021

https://t.co/JmCR9YRMl7",None,None
1381631728578482177,Narendra Modi,narendramodi,2479,"अम्फान की बर्बादी किसी का मजहब, किसी की जाति देखकर नहीं आई दीदी। लेकिन आपके कुशासन ने हर वर्ग, हर मत-मजहब के लोगों को निराश किया है। https://t.co/gBmfSUYKL5",2021-04-13 21:00:51.931669,2021-04-12 15:34:08+00:00,11263,[],29659,,Twitter Media Studio,None,None,None
1381631686941712386,Narendra Modi,narendramodi,1923,"21वीं सदी का बंगाल आकांक्षी बंगाल है। 
 
2021 का बंगाल सुशासन चाहता है। https://t.co/srjbFhMzB1",2021-04-13 21:00:51.931669,2021-04-12 15:33:58+00:00,8262,[],29659,,Twitter Media Studio,None,None,None
1381631571124363266,Narendra Modi,narendramodi,2116,"दीदी, अपने 10 साल के शासन में आपने गरीबों से बहुत विश्वासघात किया है। आपकी दुर्नीति ने उनके जीवन को और मुश्किल बना दिया है।
 
लेकिन दीदी यह जान लीजिए- गरीब बिकाऊ नहीं होता, स्वाभिमानी होता है। https://t.co/a2wRcvHAK5",2021-04-13 21:00:51.931669,2021-04-12 15:33:30+00:00,9116,[],29659,,Twitter Media Studio,None,None,None
1381570812277358596,Narendra Modi,narendramodi,2672,"मेरा और बीजेपी का यह सौभाग्य है कि इस चुनाव में बंगाल की बहनें और बेटियां बीजेपी पर, मुझ पर इतना स्नेह दिखा रही हैं। https://t.co/r7NqRHerD6",2021-04-13 21:00:51.931669,2021-04-12 11:32:04+00:00,11032,[],29659,,Twitter Media Studio,None,None,None
1381570739501944838,Narendra Modi,narendramodi,2036,"दीदी, आपने ना ही मतुआ समाज के मेरे भाइयों और बहनों के लिए कुछ किया और ना ही नामशूद्र समाज के लोगों के लिए।
 
बीजेपी के लिए सभी शरणार्थियों, मतुआ और नामशूद्र साथियों को न्याय दिलाना एक तरह से भावनात्मक कमिटमेंट है। https://t.co/fPUBrAagdg",2021-04-13 21:00:51.931669,2021-04-12 11:31:47+00:00,7434,[],29659,,Twitter Media Studio,None,None,None
