tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1382594538460520449,Nikhil Chinapa,nikhilchinapa,188,"RT @anshuman1tiwari: Election super spreader! West Bengal sees a 450% increase in active caseload in a fortnight, Tamil Nadu 309% increase,…",2021-04-15 13:24:32.092959,2021-04-15 07:19:59+00:00,0,[],68168,,Twitter for iPhone,"Election super spreader! West Bengal sees a 450% increase in active caseload in a fortnight, Tamil Nadu 309% increase, Kerala 111% between March 30 (during peak campaign days) and April 13.  https://t.co/bWm2ZhD4IU",None,None
1382594178626977792,Nikhil Chinapa,nikhilchinapa,6,"In 30 years when people ask, “when did it all start to explode?” - point them here. #IndiaWantsCrypto https://t.co/Th7CXZHKWG",2021-04-15 13:24:32.092959,2021-04-15 07:18:34+00:00,44,"[{'text': 'IndiaWantsCrypto', 'indices': [84, 101]}]",68168,,Twitter for iPhone,None,None,None
1382362013976862727,Nikhil Chinapa,nikhilchinapa,7,"RT @LavinM: @Nameet @CoinDesk @WazirXIndia Would love to understand why #FinTwit is away from #Crypto + general silence?
Pls RT for good ka…",2021-04-15 13:24:32.093959,2021-04-14 15:56:01+00:00,0,"[{'text': 'FinTwit', 'indices': [72, 80]}, {'text': 'Crypto', 'indices': [94, 101]}]",68168,,Twitter for iPhone,"@Nameet @CoinDesk @WazirXIndia Would love to understand why #FinTwit is away from #Crypto + general silence?
Pls RT for good karma @b50 @deepakshenoy @deepakabbot @Crazynaval",None,None
1382217698935930882,Nikhil Chinapa,nikhilchinapa,0,"@sbhansali @capitalmind_in @datta_arvind Absolutely agree. I believe #Crypto needs to exist as an asset class alongside stocks, bonds, real estate, gold, fixed deposits etc..",2021-04-15 13:24:32.093959,2021-04-14 06:22:34+00:00,5,"[{'text': 'Crypto', 'indices': [69, 76]}]",68168,,Twitter for iPhone,None,None,None
1382189740485603335,Nikhil Chinapa,nikhilchinapa,0,@devaiahPB Underrated tweet.,2021-04-15 13:24:32.093959,2021-04-14 04:31:28+00:00,4,[],68168,,Twitter for iPhone,None,None,None
1382189531500204036,Nikhil Chinapa,nikhilchinapa,7,"Good morning. How’s your investment portfolio doing this week? 🙂

#IndiaWantsCrypto vs #Sensex",2021-04-15 13:24:32.093959,2021-04-14 04:30:38+00:00,127,"[{'text': 'IndiaWantsCrypto', 'indices': [66, 83]}, {'text': 'Sensex', 'indices': [87, 94]}]",68168,,Twitter for iPhone,None,None,None
1382024438363824131,Nikhil Chinapa,nikhilchinapa,6,Keep calm and #HODL,2021-04-15 13:24:32.093959,2021-04-13 17:34:37+00:00,97,"[{'text': 'HODL', 'indices': [14, 19]}]",68168,,Twitter for iPhone,None,None,None
1381642257988657163,Nikhil Chinapa,nikhilchinapa,82,RT @sultanshepard: Tomorrow! Monday April 12th 10am LA/1pm NYC/6pm LOndon we are premiering a very special live set. Tune in and join us in…,2021-04-15 13:24:32.093959,2021-04-12 16:15:58+00:00,0,[],68168,,Twitter for iPhone,Tomorrow! Monday April 12th 10am LA/1pm NYC/6pm LOndon we are premiering a very special live set. Tune in and join us in the chat on @TNHlabel YouTube https://t.co/FZ3jMq3YNb https://t.co/c27v83NZAD,None,None
1381637427089997826,Nikhil Chinapa,nikhilchinapa,6,Bloody hell @klrahul11! What an innings man! Wish you’d got your century! (Just please don’t do it against #RCB) #RRvPBKS,2021-04-15 13:24:32.093959,2021-04-12 15:56:46+00:00,194,"[{'text': 'RCB', 'indices': [107, 111]}, {'text': 'RRvPBKS', 'indices': [113, 121]}]",68168,,Twitter for iPhone,None,None,None
1381571340130525188,Nikhil Chinapa,nikhilchinapa,0,@Handle_Rahul Yup,2021-04-15 13:24:32.093959,2021-04-12 11:34:10+00:00,1,[],68168,,Twitter for iPhone,None,None,None
