tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1382544242485170177,Ronnie Screwvala,RonnieScrewvala,3,"Into the future of Edtech with Augmented Reality with @@EyewayV. No better way to learn Machine Learning &amp; Data Science if not via immersive experience &amp; we're doing that right now at @upGrad_edu 🙂

#LifeLongLearning

https://t.co/DSjHvPNSsT",2021-04-15 13:08:33.418351,2021-04-15 04:00:08+00:00,20,"[{'text': 'LifeLongLearning', 'indices': [207, 224]}]",20028,,Hootsuite Inc.,None,None,None
1382413476795088897,Ronnie Screwvala,RonnieScrewvala,38,"RT @ashwinmushran: It's 54 years together for my Parents today. 
Have hardly seen them this past year so being with them this anniversary m…",2021-04-15 13:08:33.418351,2021-04-14 19:20:31+00:00,0,[],20028,,Twitter for iPhone,"It's 54 years together for my Parents today. 
Have hardly seen them this past year so being with them this anniversary makes it more special than others, considering the times we're living in.
Shout out to all you parents separated from your kids - No matter how old the kids are https://t.co/8dwbJhcWFt",None,None
1382372750753296386,Ronnie Screwvala,RonnieScrewvala,3,Even with all the gloom and doom around them - their head is held high - Farmer Satwe ⁦@WeAreSwades⁩ -excelling at MultiCrop - Chilli/Brinjal/Tomato - wife partners in sales - gets strong retail prices - and they now a model for many more farmers to follow ...👍 https://t.co/9fCSyQ0ynQ,2021-04-15 13:08:33.418351,2021-04-14 16:38:41+00:00,54,[],20028,,Twitter for iPhone,None,None,None
1382186859334402048,Ronnie Screwvala,RonnieScrewvala,1,"4) The model for focusing on career oriented solutions is geography agnostic. It has great potential in countries like Vietnam and even USA and Canada where we are growing rapidly.

#LifeLongLearning",2021-04-15 13:08:33.418351,2021-04-14 04:20:01+00:00,32,"[{'text': 'LifeLongLearning', 'indices': [182, 199]}]",20028,,Hootsuite Inc.,None,None,None
1382185601949122562,Ronnie Screwvala,RonnieScrewvala,1,"3) Be industry ready - Learners can post their questions on @upGrad_edu's discussion forum/Whatsapp groups set by the company for quick resolutions

#LifeLongLearning",2021-04-15 13:08:33.418351,2021-04-14 04:15:01+00:00,21,"[{'text': 'LifeLongLearning', 'indices': [149, 166]}]",20028,,Hootsuite Inc.,None,None,None
1382184345763512325,Ronnie Screwvala,RonnieScrewvala,0,"2) Not only does the platform have dedicated guides, one can reach out to experts for one-on-one meetings  - sometimes even for help on landing/prepping for a job

#LifeLongLearning",2021-04-15 13:08:33.418351,2021-04-14 04:10:02+00:00,25,"[{'text': 'LifeLongLearning', 'indices': [164, 181]}]",20028,,Hootsuite Inc.,None,None,None
1382183087006699520,Ronnie Screwvala,RonnieScrewvala,1,"1) Education is not like video streaming. One can’t binge watch Python or Digital Marketing. Our universities are not designed for regular upskilling. This is where @upGrad_edu comes in. 

#LifeLongLearning",2021-04-15 13:08:33.418351,2021-04-14 04:05:02+00:00,69,"[{'text': 'LifeLongLearning', 'indices': [189, 206]}]",20028,,Hootsuite Inc.,None,None,None
1382181874953510918,Ronnie Screwvala,RonnieScrewvala,3,"Thank you Ankit for sharing your story and making us believe what we are doing at @upGrad_edu is on the right path. 

#LifeLongLearning 

@techinasia 

https://t.co/JoVTHkdj9H",2021-04-15 13:08:33.418351,2021-04-14 04:00:13+00:00,20,"[{'text': 'LifeLongLearning', 'indices': [118, 135]}]",20028,,Hootsuite Inc.,None,None,None
1381834549219500032,Ronnie Screwvala,RonnieScrewvala,12,"Gudi Padwa, Ugadi, Cheti Chand, Chaitra Navratri, Navreh, Ramadan - One nation, many celebrations!

Wishing you all good health, hope and happiness.",2021-04-15 13:08:33.418351,2021-04-13 05:00:04+00:00,213,[],20028,,Hootsuite Inc.,None,None,None
1381819446965252097,Ronnie Screwvala,RonnieScrewvala,49,"Great  leadership can be summarized  in 3 words - Be humble, gracious and unassuming! 

#LifeLongLearning",2021-04-15 13:08:33.418351,2021-04-13 04:00:03+00:00,842,"[{'text': 'LifeLongLearning', 'indices': [88, 105]}]",20028,,Hootsuite Inc.,None,None,None
