tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1381878018218450948,Sherni,SherlynChopra,42,"देसी लुक की बात ही कुछ और है|
है न? 💘
#HappyUgadi #HappyGudiPadwa #HappyBaisakhi #HappyNewYear 🥰 https://t.co/l3i3EhV68D",2021-04-13 21:40:36.982502,2021-04-13 07:52:48+00:00,1106,"[{'text': 'HappyUgadi', 'indices': [38, 49]}, {'text': 'HappyGudiPadwa', 'indices': [50, 65]}, {'text': 'HappyBaisakhi', 'indices': [66, 80]}, {'text': 'HappyNewYear', 'indices': [81, 94]}]",20598,,Twitter for Android,None,None,None
1381869949178667008,Sherni,SherlynChopra,24,#HappyGudiPadwa #HappyUgadi #HappyNewYear #HappyBaisakhi ❤️ https://t.co/Yi98YNgfuV,2021-04-13 21:40:36.982502,2021-04-13 07:20:44+00:00,406,"[{'text': 'HappyGudiPadwa', 'indices': [0, 15]}, {'text': 'HappyUgadi', 'indices': [16, 27]}, {'text': 'HappyNewYear', 'indices': [28, 41]}, {'text': 'HappyBaisakhi', 'indices': [42, 56]}]",20598,,Twitter for Android,None,None,None
1381800569954738179,Sherni,SherlynChopra,2314,RT @narendramodi: Sajibu Cheiraoba greetings to the people of Manipur. Best wishes for a happy and healthy year ahead.,2021-04-13 21:40:36.982502,2021-04-13 02:45:03+00:00,0,[],20598,,Twitter for Android,Sajibu Cheiraoba greetings to the people of Manipur. Best wishes for a happy and healthy year ahead.,None,None
1381798032480501760,Sherni,SherlynChopra,4,#HappyGudiPadwa #HappyUgadi 🌟🌟🌟 https://t.co/gLXRN7xhFT,2021-04-13 21:40:36.982502,2021-04-13 02:34:58+00:00,226,"[{'text': 'HappyGudiPadwa', 'indices': [0, 15]}, {'text': 'HappyUgadi', 'indices': [16, 27]}]",20598,,Twitter for Android,None,None,None
1381608467211808774,Sherni,SherlynChopra,1374,RT @AmitShah: Siliguri is with BJP. Live from the roadshow. #Ebar200Paar https://t.co/TS3A2AgibX,2021-04-13 21:40:36.982502,2021-04-12 14:01:42+00:00,0,"[{'text': 'Ebar200Paar', 'indices': [60, 72]}]",20598,,Twitter for Android,Siliguri is with BJP. Live from the roadshow. #Ebar200Paar https://t.co/TS3A2AgibX,None,None
1381563562007568390,Sherni,SherlynChopra,3028,RT @narendramodi: Delighted to be in Barasat. Watch my speech. https://t.co/Y2Zz6gnQIr,2021-04-13 21:40:36.982502,2021-04-12 11:03:16+00:00,0,[],20598,,Twitter for Android,Delighted to be in Barasat. Watch my speech. https://t.co/Y2Zz6gnQIr,None,None
1381545208924364803,Sherni,SherlynChopra,1854,"RT @narendramodi: चार चरणों के चुनाव में बंगाल के लोगों ने इतने चौके-छक्के मारे हैं कि बीजेपी की सीटों की सेंचुरी हो गई है।
 
जो आपके साथ ‘…",2021-04-13 21:40:36.982502,2021-04-12 09:50:20+00:00,0,[],20598,,Twitter for Android,"चार चरणों के चुनाव में बंगाल के लोगों ने इतने चौके-छक्के मारे हैं कि बीजेपी की सीटों की सेंचुरी हो गई है।
 
जो आपके साथ ‘खेला’ करने की सोच रहे थे, उन्हीं के साथ ‘खेला’ हो गया है। https://t.co/PoYUDfDNrH",None,None
1381470605602549762,Sherni,SherlynChopra,23,"Joy is always possible because there is always, always, always something to be thankful for ❤️
#mondaythoughts #cherry 🐶 https://t.co/5Wf5PbA31h",2021-04-13 21:40:36.982502,2021-04-12 04:53:53+00:00,918,"[{'text': 'mondaythoughts', 'indices': [95, 110]}, {'text': 'cherry', 'indices': [111, 118]}]",20598,,Twitter for Android,None,None,None
1381300638852685827,Sherni,SherlynChopra,20,"Samad should have been sent earlier to bat! 
Very well played though! 👏👏👏 https://t.co/BA0SoLOkcw",2021-04-13 21:40:36.982502,2021-04-11 17:38:30+00:00,262,[],20598,,Twitter for Android,None,None,None
1381231756863365122,Sherni,SherlynChopra,14,"Hyderabad or Kolkata?
#SRHvsKKR 
I'm rooting for #Hyderabad ❤️
And you?",2021-04-13 21:40:36.982502,2021-04-11 13:04:47+00:00,331,"[{'text': 'SRHvsKKR', 'indices': [22, 31]}, {'text': 'Hyderabad', 'indices': [49, 59]}]",20598,,Twitter for Android,None,None,None
1381180988668014594,Sherni,SherlynChopra,1847,RT @AmitShah: Ranaghat Dakshin is strongly supporting the BJP. Watch the roadshow live! #JitcheBJPJitcheBangla https://t.co/b69f37g1Bz,2021-04-13 21:40:36.982502,2021-04-11 09:43:03+00:00,0,"[{'text': 'JitcheBJPJitcheBangla', 'indices': [88, 110]}]",20598,,Twitter for Android,Ranaghat Dakshin is strongly supporting the BJP. Watch the roadshow live! #JitcheBJPJitcheBangla https://t.co/b69f37g1Bz,None,None
1380848343195119617,Sherni,SherlynChopra,38,"Our dogs and cats think that we quit our jobs to spend more time with them! 😛😍🐶
#WeekendLockdown  #Cherry #MyLove https://t.co/KuM1h8kRPK",2021-04-13 21:40:36.982502,2021-04-10 11:41:14+00:00,971,"[{'text': 'WeekendLockdown', 'indices': [80, 96]}, {'text': 'Cherry', 'indices': [98, 105]}, {'text': 'MyLove', 'indices': [106, 113]}]",20598,,Twitter for Android,None,None,None
1380532268733669376,Sherni,SherlynChopra,2044,"RT @AmitShah: A vote for BJP is a vote for Sonar Bangla.

Thank you Jagatdal for such massive turnout in the roadshow. #BJP200PlusInBengal…",2021-04-13 21:40:36.982502,2021-04-09 14:45:16+00:00,0,"[{'text': 'BJP200PlusInBengal', 'indices': [119, 138]}]",20598,,Twitter for Android,"A vote for BJP is a vote for Sonar Bangla.

Thank you Jagatdal for such massive turnout in the roadshow. #BJP200PlusInBengal https://t.co/I2Yw88IU70",None,None
1380418850206883841,Sherni,SherlynChopra,53,"To all the people along the way who hurt me,lied to me,betrayed me,disappointed me n broke my heart,u knowingly pointed me in the direction of my own North Star. 
Without the messes,I wouldn't have a message.
U taught me more than u could ever take away from me.
4 that I thank u! https://t.co/uQLxlXD2BL",2021-04-13 21:40:36.982502,2021-04-09 07:14:35+00:00,1250,[],20598,,Twitter for Android,None,None,None
1380188736995086338,Sherni,SherlynChopra,250,RT @ANI: Chhattisgarh: CoBRA jawan Rakeshwar Singh Manhas brought to Bijapur after being released by naxals https://t.co/GxYY0nY7hy,2021-04-13 21:40:36.982502,2021-04-08 16:00:12+00:00,0,[],20598,,Twitter for Android,Chhattisgarh: CoBRA jawan Rakeshwar Singh Manhas brought to Bijapur after being released by naxals https://t.co/GxYY0nY7hy,None,None
1379989475309150209,Sherni,SherlynChopra,15285,"RT @narendramodi: Got my second dose of the COVID-19 vaccine at AIIMS today.

Vaccination is among the few ways we have, to defeat the viru…",2021-04-13 21:40:36.982502,2021-04-08 02:48:24+00:00,0,[],20598,,Twitter for Android,"Got my second dose of the COVID-19 vaccine at AIIMS today.

Vaccination is among the few ways we have, to defeat the virus.

If you are eligible for the vaccine, get your shot soon. Register on https://t.co/hXdLpmaYSP. https://t.co/XZzv6ULdan",None,None
1379989168768487425,Sherni,SherlynChopra,613,"RT @ANI: Delhi: Prime Minister Narendra Modi takes his second dose of #COVID19 vaccine at AIIMS

He received the first dose of Bharat Biote…",2021-04-13 21:40:36.982502,2021-04-08 02:47:11+00:00,0,"[{'text': 'COVID19', 'indices': [70, 78]}]",20598,,Twitter for Android,"Delhi: Prime Minister Narendra Modi takes his second dose of #COVID19 vaccine at AIIMS

He received the first dose of Bharat Biotech's COVAXIN on March 1 https://t.co/8Skoware1Z",None,None
1379631844702875654,Sherni,SherlynChopra,5,"The minds of the people who support the #RapeCulture are deeply rooted in patriarchy, misogyny, prejudice &amp; discrimination. It's high time we raise our collective consciousness as a society to combat beliefs &amp; paradigms which are unequivocally redundant. 
Real men are #feminists https://t.co/2SAFrpuooy https://t.co/iYyx9FryuH",2021-04-13 21:40:36.982502,2021-04-07 03:07:18+00:00,84,"[{'text': 'RapeCulture', 'indices': [40, 52]}, {'text': 'feminists', 'indices': [277, 287]}]",20598,,Twitter for Android,None,None,None
1379409789231325186,Sherni,SherlynChopra,5174,RT @iRupND: This bought me into tears 😭 Modi Ji plz don’t leave this Naxals https://t.co/VARIz7k7IG,2021-04-13 21:40:36.982502,2021-04-06 12:24:56+00:00,0,[],20598,,Twitter for Android,This bought me into tears 😭 Modi Ji plz don’t leave this Naxals https://t.co/VARIz7k7IG,None,None
1379373133937934336,Sherni,SherlynChopra,34,Keep your face towards the sunshine and shadows will always fall behind you 🌟 https://t.co/JjH4XSmy24,2021-04-13 21:40:36.982502,2021-04-06 09:59:17+00:00,1103,[],20598,,Twitter for Android,None,None,None
1378929013146542080,Sherni,SherlynChopra,14,"Death can’t separate people from love.
It can’t take away our memories either.
In the end, love is stronger than death. 
#DeathAnniversary of my dad, 
Dr. Prem Sagar Chopra ❤️
#OmShanti https://t.co/1J7dwP5qFp",2021-04-13 21:40:36.982502,2021-04-05 04:34:30+00:00,287,"[{'text': 'DeathAnniversary', 'indices': [121, 138]}, {'text': 'OmShanti', 'indices': [176, 185]}]",20598,,Twitter for iPhone,None,None,None
1378709833835159553,Sherni,SherlynChopra,6014,RT @AmitShah: छत्तीसगढ़ में नक्सलियों के साथ मुठभेड़ में शहीद हुए जवानों को श्रद्धांजलि देता हूं। मैं उनके परिवार व देश को विश्वास दिलाता…,2021-04-13 21:40:36.982502,2021-04-04 14:03:34+00:00,0,[],20598,,Twitter for Android,छत्तीसगढ़ में नक्सलियों के साथ मुठभेड़ में शहीद हुए जवानों को श्रद्धांजलि देता हूं। मैं उनके परिवार व देश को विश्वास दिलाता हूं कि जवानों ने देश के लिए जो अपना बलिदान दिया है वो व्यर्थ नहीं जाएगा। नक्सलियों के खिलाफ हमारी लड़ाई और मजबूत होगी व हम इसे परिणाम तक ले जाएंगे। https://t.co/15rAFAS5uU,None,None
1378709697981685761,Sherni,SherlynChopra,9,#NaxalAttack  #OmShanti  🙏 https://t.co/DNrmq3SsXV,2021-04-13 21:40:36.982502,2021-04-04 14:03:01+00:00,116,"[{'text': 'NaxalAttack', 'indices': [0, 12]}, {'text': 'OmShanti', 'indices': [14, 23]}]",20598,,Twitter for Android,None,None,None
1378707923346464771,Sherni,SherlynChopra,4835,"RT @MajorPoonia: #NeverForgetNeverForgive 
22 is NOT a number..they were our brothers,they were the ultimate hope of 22 families...😞
Act No…",2021-04-13 21:40:36.982502,2021-04-04 13:55:58+00:00,0,"[{'text': 'NeverForgetNeverForgive', 'indices': [17, 41]}]",20598,,Twitter for Android,"#NeverForgetNeverForgive 
22 is NOT a number..they were our brothers,they were the ultimate hope of 22 families...😞
Act Now !
#NaxalAttack @AmitShah https://t.co/rR1rEPQSx7",None,None
