tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1381997276390809604,Siddarth Srinivas,sidhuwrites,8,"Harshal Patel takes 5 wickets in the first game. 
Andre Russell takes 5 wickets in the second game. 

Dear Mumbai, please continue this pattern until you play Chennai.",2021-04-13 21:25:33.784603,2021-04-13 15:46:41+00:00,74,[],59080,,Twitter for Android,None,None,None
1381981499138838529,Siddarth Srinivas,sidhuwrites,0,"Title look of #ThamizhCinema’s upcoming venture directed by #DhanapalGanesh to be be revealed on the auspicious day of Tamil New Year tomorrow at 6PM by Maanaadu Producer #SureshKamatchi

@Thiyaga01602273 @DhanaDh79785671

@spp_media @PRO_Priya https://t.co/8Zd8vJaLYr",2021-04-13 21:25:33.784603,2021-04-13 14:44:00+00:00,9,"[{'text': 'ThamizhCinema', 'indices': [14, 28]}, {'text': 'DhanapalGanesh', 'indices': [60, 75]}, {'text': 'SureshKamatchi', 'indices': [171, 186]}]",59080,,Twitter for Android,None,None,None
1381960724814028804,Siddarth Srinivas,sidhuwrites,28,".@hombalefilms announces their next #HombaleFilms9 - Powerstar @PuneethRajkumar &amp; @pawanfilms.

@VKiragandur @hombalefilms 

Principal photography starts in July 2021. https://t.co/4VdDq4BOig",2021-04-13 21:25:33.784603,2021-04-13 13:21:27+00:00,65,"[{'text': 'HombaleFilms9', 'indices': [36, 50]}]",59080,,Twitter for Android,None,None,None
1381950037438070784,Siddarth Srinivas,sidhuwrites,1,".@Gautham_Karthik's #ChellapPillai motion teaser to be revealed by @VijaySethuOffl @KeerthyOfficial @sooriofficial - tomorrow morning at 11:05 AM.

@Arun_chandhiran @SSTproduction @DoneChannel1 @CtcMediaboy https://t.co/LBc8K4ThEV",2021-04-13 21:25:33.784603,2021-04-13 12:38:58+00:00,7,"[{'text': 'ChellapPillai', 'indices': [20, 34]}]",59080,,Twitter for Android,None,None,None
1381949643794210816,Siddarth Srinivas,sidhuwrites,0,"Here's a new promo of #MGRMagan - Jilla song, full song releasing tomorrow.

Movie releasing on April 23rd in cinemas.

@SasikumarDir @ponramVVS @AnthonyInParty @Screensceneoffl 

https://t.co/qDyFfNeuTT",2021-04-13 21:25:33.784603,2021-04-13 12:37:25+00:00,1,"[{'text': 'MGRMagan', 'indices': [22, 31]}]",59080,,Twitter for Android,None,None,None
1381916078725468160,Siddarth Srinivas,sidhuwrites,2,"On the auspicious day of #Yugadi, @hombalefilms is delighted to announce their next project, #HombaleFilms9.

Gift unwraps at 6:39PM today.

@VKiragandur @hombalefilms https://t.co/s12oj0WgYK",2021-04-13 21:25:33.784603,2021-04-13 10:24:02+00:00,7,"[{'text': 'Yugadi', 'indices': [25, 32]}, {'text': 'HombaleFilms9', 'indices': [93, 107]}]",59080,,Twitter for Android,None,None,None
1381886537734877186,Siddarth Srinivas,sidhuwrites,24,Vaathi coming. In slow motion. https://t.co/CS7ykE16Q6,2021-04-13 21:25:33.784603,2021-04-13 08:26:39+00:00,148,[],59080,,Twitter for Android,None,None,None
1381884957254017026,Siddarth Srinivas,sidhuwrites,114,"RT @RajaBets: ⚡️ #WRX deposits &amp; withdrawals are live on Rajabets ⚡️

To celebrate this, we're giving away 50 $WRX tokens to 5 lucky winner…",2021-04-13 21:25:33.784603,2021-04-13 08:20:22+00:00,0,"[{'text': 'WRX', 'indices': [17, 21]}]",59080,,Twitter for Android,"⚡️ #WRX deposits &amp; withdrawals are live on Rajabets ⚡️

To celebrate this, we're giving away 50 $WRX tokens to 5 lucky winners:

1. Follow @rajabets
2. Retweet this tweet
3. Reply to the tweet and mention 3 friends

Valid for 24 hours ⏱

Go go go 🚀 https://t.co/yt02pokKJn",None,None
1381867597038198792,Siddarth Srinivas,sidhuwrites,0,"After the romantic anthem Yaare Yaare, here is the Heart Break anthem of this season.

https://t.co/E0adB3PDkT 

#KaalaanniMarchi from #EkLoveYa by composer Arjun Janya under Kannada director @directorprems. https://t.co/zJA0KhJnG1",2021-04-13 21:25:33.784603,2021-04-13 07:11:23+00:00,2,"[{'text': 'KaalaanniMarchi', 'indices': [113, 129]}, {'text': 'EkLoveYa', 'indices': [135, 144]}]",59080,,Twitter for Android,None,None,None
1381862038826184706,Siddarth Srinivas,sidhuwrites,2,Hearty congratulations @TheVishnuVishal and @Guttajwala. Let this be the start of a happy and fun-filled journey :) #JwalaVished https://t.co/MTmNIESsrJ,2021-04-13 21:25:33.784603,2021-04-13 06:49:18+00:00,16,"[{'text': 'JwalaVished', 'indices': [116, 128]}]",59080,,Twitter for Android,None,None,None
