tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1382601470063742977,Suhasini Haidar,suhasinih,18,"RT @ndtv: Watch | ""#Delhi malls, gyms, spas to be closed, only home delivery for restaurants, cinema halls to run with 30% capacity,"" says…",2021-04-15 13:25:35.702073,2021-04-15 07:47:32+00:00,0,"[{'text': 'Delhi', 'indices': [19, 25]}]",66271,,Twitter for Android,"Watch | ""#Delhi malls, gyms, spas to be closed, only home delivery for restaurants, cinema halls to run with 30% capacity,"" says Chief Minister Arvind Kejriwal 

#COVID19 https://t.co/SOxO2PIWk0",None,None
1382600663364894724,Suhasini Haidar,suhasinih,5,"RT @dperi84: Amid raising #COVID19 cases, Delhi CM Kejriwal announces weekend curfew. Effective from 10pm Friday night to 6am Monday mornin…",2021-04-15 13:25:35.702073,2021-04-15 07:44:20+00:00,0,"[{'text': 'COVID19', 'indices': [26, 34]}]",66271,,Twitter for Android,"Amid raising #COVID19 cases, Delhi CM Kejriwal announces weekend curfew. Effective from 10pm Friday night to 6am Monday morning.",None,None
1382600123713146882,Suhasini Haidar,suhasinih,823,"RT @rahulkanwal: Govt needs to impose serious curbs on the Kumbh mela and on every other major gathering, including political rallies. To a…",2021-04-15 13:25:35.702073,2021-04-15 07:42:11+00:00,0,[],66271,,Twitter for Android,"Govt needs to impose serious curbs on the Kumbh mela and on every other major gathering, including political rallies. To allow thousands to congregate when Covid cases are shooting through the roof is harakiri. No God will forgive this folly. Lives are more important than votes.",None,None
1382599793051009024,Suhasini Haidar,suhasinih,14,RT @sidhant: Just in: Weekend curfew announced in India's national capital Delhi amid surging cases in Delhi,2021-04-15 13:25:35.702073,2021-04-15 07:40:52+00:00,0,[],66271,,Twitter for Android,Just in: Weekend curfew announced in India's national capital Delhi amid surging cases in Delhi,None,None
1382593735213469696,Suhasini Haidar,suhasinih,25,"RT @suhasinih: Modi cancels meeting with French FM, UK PM shortens visit, limits to Delhi, as other visits from and travel under cloud over…",2021-04-15 13:25:35.702073,2021-04-15 07:16:48+00:00,0,[],66271,,Twitter for Android,"Modi cancels meeting with French FM, UK PM shortens visit, limits to Delhi, as other visits from and travel under cloud over Coronavirus crisis. 

Maldives FM in Delhi unlikely to meet PM, quns over Japan PM Suga visit, PM Modi's travel to Porto,Paris

https://t.co/wJ76qLM2iv",None,None
1382588869304934402,Suhasini Haidar,suhasinih,216,"RT @maryashakil: The situation is really bad in small towns

महाराष्ट्र के उस्मानाबाद जिले से दिल दहला देने वाली तस्वीरें सामने आई हैं

बुध…",2021-04-15 13:25:35.702073,2021-04-15 06:57:28+00:00,0,[],66271,,Twitter for Android,"The situation is really bad in small towns

महाराष्ट्र के उस्मानाबाद जिले से दिल दहला देने वाली तस्वीरें सामने आई हैं

बुधवार को एक साथ 19 चितायें जली

उस्मनाबाद जिले में कोरोना से अबतक 457 लोगों की मौत हो चुकी हैं! 4940 एक्टीव कोरोना मरीज हैं 
#COVIDSecondWave #coronavirus https://t.co/N12NHIiEBn",None,None
1382588659447209989,Suhasini Haidar,suhasinih,11,"RT @maya206: Politics trumps public health. If this isn’t criminal negligence, not sure what is. #WestBengalPolls #COVID19India #secondwave…",2021-04-15 13:25:35.702073,2021-04-15 06:56:38+00:00,0,"[{'text': 'WestBengalPolls', 'indices': [97, 113]}, {'text': 'COVID19India', 'indices': [114, 127]}, {'text': 'secondwave', 'indices': [128, 139]}]",66271,,Twitter for Android,"Politics trumps public health. If this isn’t criminal negligence, not sure what is. #WestBengalPolls #COVID19India #secondwave #CoronavirusPandemic https://t.co/JalQNoXZdv",None,None
1382543803316195332,Suhasini Haidar,suhasinih,0,"@gauravkapoorvns Deepest condolences, Gaurav",2021-04-15 13:25:35.702073,2021-04-15 03:58:23+00:00,6,[],66271,,Twitter for Android,None,None,None
1382542021819174912,Suhasini Haidar,suhasinih,22,RT @Aakar__Patel: “OCIs working in India can’t express peaceful dissent against the state for fear that such dissent will amount to either…,2021-04-15 13:25:35.702073,2021-04-15 03:51:19+00:00,0,[],66271,,Twitter for Android,"“OCIs working in India can’t express peaceful dissent against the state for fear that such dissent will amount to either disaffection to the Constitution of India or the violation of any law so prescribed” for fear of being expelled

Partly Free latest https://t.co/XoaekKBgOi",None,None
1382538898765533184,Suhasini Haidar,suhasinih,4,@Bhairavi_Jani @PMOIndia https://t.co/Pjvk6OXLjb,2021-04-15 13:25:35.702073,2021-04-15 03:38:54+00:00,15,[],66271,,Twitter for Android,None,None,None
1382534782299480067,Suhasini Haidar,suhasinih,21,"RT @suhasiniraj: Thousands are fleeing hot spots in cities as India hits another record, with more than 184,000 daily new infections report…",2021-04-15 13:25:35.702073,2021-04-15 03:22:33+00:00,0,[],66271,,Twitter for Android,"Thousands are fleeing hot spots in cities as India hits another record, with more than 184,000 daily new infections reported on Wednesday. Bus stations are packed. Crowds are growing at railway stations. Our story here- 

https://t.co/rdxLL1LYFM",None,None
1382534463708491776,Suhasini Haidar,suhasinih,244,"Two weeks after PM Modis visit to Dhaka, Bangladesh is back on the political agenda. Bangladesh FM says comments made by HM Shah in West Bengal campaign are unacceptable.
https://t.co/nHJHyiAKZp",2021-04-15 13:25:35.702073,2021-04-15 03:21:17+00:00,783,[],66271,,Twitter for Android,None,None,None
1382508087597170688,Suhasini Haidar,suhasinih,6,"Biden: We’ll ask other countries — other countries in the region — to do more to support Afghanistan, especially Pakistan, as well as Russia, China, India, and Turkey.  They all have a significant stake in the stable future for Afghanistan. https://t.co/CXjgEwOIKv",2021-04-15 13:25:35.702073,2021-04-15 01:36:28+00:00,33,[],66271,,Twitter for Android,None,None,None
1382507130159132672,Suhasini Haidar,suhasinih,12,"RT @NikkeiAsia: AFGHANISTAN's LONG WAR | THE BEGINNING OF THE END

The American president has finally announced the withdrawal of all troop…",2021-04-15 13:25:35.702073,2021-04-15 01:32:40+00:00,0,[],66271,,Twitter for Android,"AFGHANISTAN's LONG WAR | THE BEGINNING OF THE END

The American president has finally announced the withdrawal of all troops. What does it mean for U.S. and Afghan security?

@wajskhan talks to @asfandyarmir @MichaelKugelman @splalwani &amp; @shujanawaz.

https://t.co/nVKkchGOA7",None,None
1382504706140819458,Suhasini Haidar,suhasinih,29,"RT @MujMash: 1/2 That the US was ready to cut &amp; run on its own terms has been clear for long; ""conditions based"" was always a brief window…",2021-04-15 13:25:35.702073,2021-04-15 01:23:02+00:00,0,[],66271,,Twitter for Android,"1/2 That the US was ready to cut &amp; run on its own terms has been clear for long; ""conditions based"" was always a brief window of wiggle room with a clock that had started ticking. 

All along, it was also clear that a stubborn, entrenched Taliban was strategizing around this. https://t.co/3EnSfwpwxg",None,None
1382503969189031937,Suhasini Haidar,suhasinih,9,"RT @suhasinih: India, Russia commit to S400 timeliness for delivery, diverge on Indo-Pacific strategy. On same day, Russian Amb Kudashev wa…",2021-04-15 13:25:35.702073,2021-04-15 01:20:06+00:00,0,[],66271,,Twitter for Android,"India, Russia commit to S400 timeliness for delivery, diverge on Indo-Pacific strategy. On same day, Russian Amb Kudashev warns of ""dangers"" of West reviving Cold War structures, EAM Jaishankar dismisses Asian NATO fears. https://t.co/HTW0FaR7vX",None,None
1382501461372772354,Suhasini Haidar,suhasinih,10,An official aware of the PM’s schedule told The Hindu that all such meetings over the next few days have been called off as Mr. Modi has to “focus on COVID-related meetings”. https://t.co/RMmvDlrTjd,2021-04-15 13:25:35.702073,2021-04-15 01:10:08+00:00,36,[],66271,,Twitter for Android,None,None,None
1382500352361046017,Suhasini Haidar,suhasinih,25,"Modi cancels meeting with French FM, UK PM shortens visit, limits to Delhi, as other visits from and travel under cloud over Coronavirus crisis. 

Maldives FM in Delhi unlikely to meet PM, quns over Japan PM Suga visit, PM Modi's travel to Porto,Paris

https://t.co/wJ76qLM2iv",2021-04-15 13:25:35.702073,2021-04-15 01:05:44+00:00,130,[],66271,,Twitter for Android,None,None,None
