tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1381994673636397057,Suresh Raina🇮🇳,ImRaina,375,#NewProfilePic https://t.co/LIt0vI5uoA,2021-04-13 21:23:48.712026,2021-04-13 15:36:21+00:00,3716,"[{'text': 'NewProfilePic', 'indices': [0, 14]}]",5949,,Twitter for iPhone,None,None,None
1381908929458761728,Suresh Raina🇮🇳,ImRaina,2,@AdityaRajKaul @aditytiwarilive Happy birthday brother 🎂🎂❤️! Have a good one ! See you soon,2021-04-13 21:23:48.712026,2021-04-13 09:55:38+00:00,36,[],5949,,Twitter for iPhone,None,None,None
1381857063362392066,Suresh Raina🇮🇳,ImRaina,616,"Believe. An inner journey to achieve my cricketing dream

Believe. What it takes to find your best within you

Believe. When you have faith within yourself beyond boundaries

#PREORDER your book here

https://t.co/OR62iwDcHT

​#BelieveBook #SureshRaina
@PenguinIndia @beastieboy07 https://t.co/yBey3UK3N9",2021-04-13 21:23:48.712026,2021-04-13 06:29:32+00:00,4445,"[{'text': 'PREORDER', 'indices': [175, 184]}, {'text': 'BelieveBook', 'indices': [227, 239]}, {'text': 'SureshRaina', 'indices': [240, 252]}]",5949,,Twitter for iPhone,None,None,None
1381828696781156353,Suresh Raina🇮🇳,ImRaina,1435,The grind is always on. Eyes on the next one with all your support. #WhistlePodu @ChennaiIPL https://t.co/4SpCywF5ec,2021-04-13 21:23:48.712026,2021-04-13 04:36:49+00:00,13681,"[{'text': 'WhistlePodu', 'indices': [68, 80]}]",5949,,Twitter for iPhone,None,None,None
1381676012958715905,Suresh Raina🇮🇳,ImRaina,6146,"What an incredible innings @IamSanjuSamson ! Well played, you have definitely won a lot of hearts today, Keep Going🙌 Huge respect! 💯 https://t.co/hBNBJv9Hru",2021-04-13 21:23:48.712026,2021-04-12 18:30:06+00:00,92113,[],5949,,Twitter for iPhone,None,None,None
1381610936004452353,Suresh Raina🇮🇳,ImRaina,53,@NBAIndia @ChennaiIPL @DJBravo47 @SacramentoKings Sure 🙌,2021-04-13 21:23:48.712026,2021-04-12 14:11:30+00:00,504,[],5949,,Twitter for iPhone,None,None,None
1381575213121474565,Suresh Raina🇮🇳,ImRaina,41,@chand2579 Get well soon 🙌,2021-04-13 21:23:48.712026,2021-04-12 11:49:33+00:00,1511,[],5949,,Twitter for iPhone,None,None,None
1381217843883110402,Suresh Raina🇮🇳,ImRaina,1007,What better way to relax ourselves then playing a game of basketball with the team today. @DJBravo47 @RayuduAmbati @ChennaiIPL 🏀 @imShard #chillvibes #Letsdothis #CSK https://t.co/xQPX1AyeX5,2021-04-13 21:23:48.712026,2021-04-11 12:09:30+00:00,11204,"[{'text': 'chillvibes', 'indices': [138, 149]}, {'text': 'Letsdothis', 'indices': [150, 161]}, {'text': 'CSK', 'indices': [162, 166]}]",5949,,Twitter for iPhone,None,None,None
1380203861047091200,Suresh Raina🇮🇳,ImRaina,1965,Catching up with the hard leather! Feilding drills are the thrills! @ChennaiIPL 💛 https://t.co/kKkiUy2bHm,2021-04-13 21:23:48.712026,2021-04-08 17:00:18+00:00,28422,[],5949,,Twitter for iPhone,None,None,None
1379812746066268162,Suresh Raina🇮🇳,ImRaina,3235,"We are together not just because we are a part of the same team, but we are a family for a reason. Together since beginning @msdhoni @SPFleming7 @russcsk @lakshuakku @tommysimsek #GregoryKing 

#WhistlePodu &amp; Lots of Yellove @ChennaiIPL https://t.co/C9FExdQEyU",2021-04-13 21:23:48.712026,2021-04-07 15:06:09+00:00,45100,"[{'text': 'GregoryKing', 'indices': [179, 191]}, {'text': 'WhistlePodu', 'indices': [194, 206]}]",5949,,Twitter for iPhone,None,None,None
1379352871393665030,Suresh Raina🇮🇳,ImRaina,7428,"Life is very short nanba, Always be happy! #SirichaPochu #WhistlePodu https://t.co/R3os33Raz9",2021-04-13 21:23:48.712026,2021-04-06 08:38:46+00:00,98691,"[{'text': 'SirichaPochu', 'indices': [43, 56]}, {'text': 'WhistlePodu', 'indices': [57, 69]}]",5949,,Twitter for iPhone,None,None,None
1379333089902534657,Suresh Raina🇮🇳,ImRaina,271,"Play a Sport! Because it
•Challenges you
•Disciplines you
•Teaches you to manage time
•Improves your mental health
•Helps you work in teams
•Pushes you out of your comfort zone
•Teaches resilience
•Helps you deal with failure
SPORT BUILDS YOUR CHARACTER #SportsDay https://t.co/K5nkCGIUlb",2021-04-13 21:23:48.712026,2021-04-06 07:20:10+00:00,3719,"[{'text': 'SportsDay', 'indices': [254, 264]}]",5949,"Place(_api=<tweepy.api.API object at 0x00000249D95B0548>, id='7929cea6bd5b32bd', url='https://api.twitter.com/1.1/geo/id/7929cea6bd5b32bd.json', place_type='city', name='Mumbai', full_name='Mumbai, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000249D95B0548>, type='Polygon', coordinates=[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]), attributes={})",Twitter for iPhone,None,None,None
1378962753252073474,Suresh Raina🇮🇳,ImRaina,4902,Nanga ready Neenga ready ah.#Yellove https://t.co/p8Bnl9wZGY,2021-04-13 21:23:48.712026,2021-04-05 06:48:34+00:00,66985,"[{'text': 'Yellove', 'indices': [28, 36]}]",5949,,Twitter for iPhone,None,None,None
1378675569634725889,Suresh Raina🇮🇳,ImRaina,1835,"Distressed to see the killing of at least 22 of our jawans by naxals in Chhattisgarh. Any life lost hurts, but for any nation, the life of its jawan is priceless. They are the real desh-bhakts. Hope the real culprits are brought to justice. 
Om Shanti
Jai Hind 🇮🇳",2021-04-13 21:23:48.712026,2021-04-04 11:47:25+00:00,27859,[],5949,"Place(_api=<tweepy.api.API object at 0x00000249D95B0548>, id='514d0719e0a80a43', url='https://api.twitter.com/1.1/geo/id/514d0719e0a80a43.json', place_type='city', name='Navi Mumbai', full_name='Navi Mumbai, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000249D95B0548>, type='Polygon', coordinates=[[[72.958588, 18.986727], [73.113183, 18.986727], [73.113183, 19.206734], [72.958588, 19.206734]]]), attributes={})",Twitter for iPhone,None,None,None
1378643876487946241,Suresh Raina🇮🇳,ImRaina,6332,Vandhachunu sollu! #Yellove https://t.co/IFzmTL3zsc,2021-04-13 21:23:48.712026,2021-04-04 09:41:28+00:00,75186,"[{'text': 'Yellove', 'indices': [19, 27]}]",5949,"Place(_api=<tweepy.api.API object at 0x00000249D95B0548>, id='7929cea6bd5b32bd', url='https://api.twitter.com/1.1/geo/id/7929cea6bd5b32bd.json', place_type='city', name='Mumbai', full_name='Mumbai, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000249D95B0548>, type='Polygon', coordinates=[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]), attributes={})",Twitter for iPhone,None,None,None
1378396727166652417,Suresh Raina🇮🇳,ImRaina,0,@PrajwalBusta @PriyankaCRaina Thank you so much,2021-04-13 21:23:48.712026,2021-04-03 17:19:23+00:00,27,[],5949,"Place(_api=<tweepy.api.API object at 0x00000249D95B0548>, id='7929cea6bd5b32bd', url='https://api.twitter.com/1.1/geo/id/7929cea6bd5b32bd.json', place_type='city', name='Mumbai', full_name='Mumbai, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000249D95B0548>, type='Polygon', coordinates=[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]), attributes={})",Twitter for iPhone,None,None,None
1378282770254852097,Suresh Raina🇮🇳,ImRaina,0,@YvLahoti @PriyankaCRaina Thank you,2021-04-13 21:23:48.712026,2021-04-03 09:46:34+00:00,18,[],5949,"Place(_api=<tweepy.api.API object at 0x00000249D95B0548>, id='7929cea6bd5b32bd', url='https://api.twitter.com/1.1/geo/id/7929cea6bd5b32bd.json', place_type='city', name='Mumbai', full_name='Mumbai, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000249D95B0548>, type='Polygon', coordinates=[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]), attributes={})",Twitter for iPhone,None,None,None
