tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1382922972021739520,Atul Khatri,one_by_two,220,"RT @velumania: Fight for Vaccination first, not elections. we need to live to vote. 

Fight for Hospitals first, not mandir or masjid. We n…",2021-04-16 13:19:40.619584,2021-04-16 05:05:04.000000,0,[],475,,Twitter for Android,"Fight for Vaccination first, not elections. we need to live to vote. 

Fight for Hospitals first, not mandir or masjid. We need to live to pray. 

No cart before the horse please.",None,None
1382922485788647432,Atul Khatri,one_by_two,201,"RT @Ram_Guha: If India’s first Home Minister was faced with this question: What is more important, protecting the lives of all Indians rega…",2021-04-16 13:19:40.619584,2021-04-16 05:03:08.000000,0,[],475,,Twitter for Android,"If India’s first Home Minister was faced with this question: What is more important, protecting the lives of all Indians regardless of caste, creed, or ideology, or garnering more votes for your party? —then what might he have said, and what would he have done?",None,None
1382559983540207619,Atul Khatri,one_by_two,0,@sapnabhavnani Not allowed na unless it's for essential service,2021-04-16 13:19:40.619584,2021-04-15 05:02:41.000000,43,[],475,,Twitter for Android,None,None,None
1382559774949089282,Atul Khatri,one_by_two,17,Cc @myogiadityanath https://t.co/LFMOoNk4al,2021-04-16 13:19:40.619584,2021-04-15 05:01:51.000000,403,[],475,,Twitter for Android,None,None,None
1382555482938769412,Atul Khatri,one_by_two,266,"If you guys feel bad about this lockdown, remember Karthik Aaryan just took delivery of his 4.5 Cr Lamborghini &amp; for the next 15 days he will be getting out of his apartmentt, sit in the car, start the engine, rev it for 15 mins without moving an inch &amp;  then go back to his apt.",2021-04-16 13:19:40.619584,2021-04-15 04:44:48.000000,5233,[],475,,Twitter for Android,None,None,None
1382542749837103105,Atul Khatri,one_by_two,33,Corrected it https://t.co/Sv2Dr2YPMA,2021-04-16 13:19:40.619584,2021-04-15 03:54:12.000000,1072,[],475,,Twitter for Android,None,None,None
1382258021967941639,Atul Khatri,one_by_two,14,Get well soon @myogiadityanath ❤️,2021-04-16 13:19:40.619584,2021-04-14 09:02:48.000000,579,[],475,,Twitter for Android,None,None,None
1382239371437346820,Atul Khatri,one_by_two,497,"Cases in Maharashtra are high as the Government is transparent and reports everything. 

Not like other states where crazy window dressing is happening.",2021-04-16 13:19:40.619584,2021-04-14 07:48:41.000000,4632,[],475,,Twitter for Android,None,None,None
1382189676203712514,Atul Khatri,one_by_two,227,"Guys don't despair. Hum logon nay Demonetization, GST implementation, Arnab aur Sambit ko jhela hai. Yeh Corona kya cheez hai!??

Together we will fight it ❤️👍",2021-04-16 13:19:40.619584,2021-04-14 04:31:13.000000,3090,[],475,,Twitter for Android,None,None,None
1382153430441992192,Atul Khatri,one_by_two,1,@DunzoIt LOL. Thanks 👍,2021-04-16 13:19:40.619584,2021-04-14 02:07:11.000000,34,[],475,,Twitter for Android,None,None,None
1382028448466489346,Atul Khatri,one_by_two,0,.@colbertlateshow You can call him Doland (that's what India's PM called him on stage) #HeWhoShallBeNamed,2021-04-16 13:19:40.619584,2021-04-13 17:50:33.000000,120,"[{'text': 'HeWhoShallBeNamed', 'indices': [87, 105]}]",475,,Twitter for Android,None,None,None
1382015420387848193,Atul Khatri,one_by_two,6206,RT @YashwantSinha: PM says BJP lost the election in 1984 but Atalji did not complain about EVMs. Will someone kindly inform the PM that the…,2021-04-16 13:19:40.619584,2021-04-13 16:58:47.000000,0,[],475,,Twitter for Android,PM says BJP lost the election in 1984 but Atalji did not complain about EVMs. Will someone kindly inform the PM that there were no EVMs in 1984.,None,None
1382015263789342723,Atul Khatri,one_by_two,9,"Will local couriers like WeFast, Dunzo be allowed in this #maharastralockdown ?",2021-04-16 13:19:40.619584,2021-04-13 16:58:10.000000,564,"[{'text': 'maharastralockdown', 'indices': [58, 77]}]",475,,Twitter for Android,None,None,None
1382010920847564801,Atul Khatri,one_by_two,6,Totally agree 👍 https://t.co/qbzxGip49g,2021-04-16 13:19:40.619584,2021-04-13 16:40:54.000000,156,[],475,,Twitter for Android,None,None,None
1382010786218827779,Atul Khatri,one_by_two,178,"RT @DrHarish139: Not fair @myogiadityanath @PMOIndia 
This is dangerous and unscientific. Gods can wait ! Me and friends r fighting tough b…",2021-04-16 13:19:40.619584,2021-04-13 16:40:22.000000,0,[],475,,Twitter for Android,"Not fair @myogiadityanath @PMOIndia 
This is dangerous and unscientific. Gods can wait ! Me and friends r fighting tough battles 24×7 finding meds, beds for patients.Ganga ma cannot fight the #COVID19India virus.
 Let's stop this mayhem
I am pained &amp; sad
#KumbhMela2021 can wait https://t.co/UYUZ36WltU",None,None
1382010593780015105,Atul Khatri,one_by_two,31,Please don't shut Wine shops in Maharashtra. The Govt tends to lose a lot of Excise revenue.,2021-04-16 13:19:40.619584,2021-04-13 16:39:36.000000,1232,[],475,,Twitter for Android,None,None,None
1381988371937914881,Atul Khatri,one_by_two,1,@rohitroy500 Mereko 7am to 9pm drive pey leke chal please. I want to experience your Thar,2021-04-16 13:19:40.619584,2021-04-13 15:11:18.000000,74,[],475,,Twitter for Android,None,None,None
1381987598982209538,Atul Khatri,one_by_two,1,@SahilBulla As Shaggy once said 'It wasn't me',2021-04-16 13:19:40.619584,2021-04-13 15:08:14.000000,233,[],475,,Twitter for Android,None,None,None
1381840570746687488,Atul Khatri,one_by_two,26,"Happy Navreh, Baisakhi, Bihu, Chetichand, Gudi Padwa, Ugadi,, Puthandu, Vishu &amp; Ramadan Kareem ❤️

This is my Incredible India. Today take your pick, stay at home and celebrate with your loved ones.",2021-04-16 13:19:40.619584,2021-04-13 05:24:00.000000,604,[],475,,Twitter for Android,None,None,None
1381839446878773253,Atul Khatri,one_by_two,84,"I hate these state elections. 

They take away my beloved PM for silly campaigning work.",2021-04-16 13:19:40.619584,2021-04-13 05:19:32.000000,2258,[],475,,Twitter for Android,None,None,None
1381631635213328385,Atul Khatri,one_by_two,20,"When you ask Vidyut - ""Bhaisaab idhar hospital kahan hai, post office kahan hai aur Kashmir kahan hai??"" https://t.co/xJeoP9flG8",2021-04-16 13:19:40.619584,2021-04-12 15:33:45.000000,1028,[],475,,Twitter for Android,None,None,None
1381631004931018753,Atul Khatri,one_by_two,2437,"RT @BDUTT: Stop. Election rallies. Now. It’s callous and disgusting to watch, while people are running short of space at cremation and buri…",2021-04-16 13:19:40.619584,2021-04-12 15:31:15.000000,0,[],475,,Twitter for Android,"Stop. Election rallies. Now. It’s callous and disgusting to watch, while people are running short of space at cremation and burial grounds",None,None
1381497952280006658,Atul Khatri,one_by_two,21,"Well I just googled Nehru + Kumbh Mela and this is what came up

Nehru has already been blamed...

https://t.co/dqeJnERGV9",2021-04-16 13:19:40.619584,2021-04-12 06:42:33.000000,314,[],475,,Twitter for Android,None,None,None
1381459056590606341,Atul Khatri,one_by_two,149,"Forget everything else. I just want to know Bhakts take on this. How they rationalise this..

Shuru ho jaao.. https://t.co/8gMqudUjij",2021-04-16 13:19:40.619584,2021-04-12 04:08:00.000000,1588,[],475,,Twitter for Android,None,None,None
1381282759763656707,Atul Khatri,one_by_two,418,RT @Vibhinnaideas: Rallies and Corona. 😂https://t.co/mAA6Eu47ys,2021-04-16 13:19:40.619584,2021-04-11 16:27:27.000000,0,[],475,,Twitter for Android,Rallies and Corona. 😂https://t.co/mAA6Eu47ys,None,None
1381281968659132420,Atul Khatri,one_by_two,3,"Happy birthday my friend @gauravkapur 

What can you gift someone who already has @cyrus_sahu in his life??",2021-04-16 13:19:40.619584,2021-04-11 16:24:18.000000,389,[],475,,Twitter for Android,None,None,None
1381150623941332992,Atul Khatri,one_by_two,8,"Most vaccines work on the basis of this dialogue from the movie Sholay - ""Loha lohe ko kat-ta hain"" 

#JustSaying",2021-04-16 13:19:40.619584,2021-04-11 07:42:23.000000,709,"[{'text': 'JustSaying', 'indices': [102, 113]}]",475,,Twitter for Android,None,None,None
1381104961732243462,Atul Khatri,one_by_two,38,"In her defence she was performing a puja Indore and not outdoors

#Sorry #DadJoke https://t.co/76iPKoErte",2021-04-16 13:19:40.619584,2021-04-11 04:40:57.000000,708,"[{'text': 'Sorry', 'indices': [66, 72]}, {'text': 'DadJoke', 'indices': [73, 81]}]",475,,Twitter for Android,None,None,None
1381098833740931072,Atul Khatri,one_by_two,15,Here is wishing all eligible Indians a very Happy #TikaUtsav ❤️,2021-04-16 13:19:40.619584,2021-04-11 04:16:36.000000,628,"[{'text': 'TikaUtsav', 'indices': [50, 60]}]",475,,Twitter for Android,None,None,None
1380745176398761989,Atul Khatri,one_by_two,253,"What rubbish! There is no shortage of Covishield and Covaxin! 

They are available in large quantities in Mongolia, Oman, Myanmar, Philippines, Bahrain, Maldives,Mauritius, UAE, Paraguay, Canada, etc",2021-04-16 13:19:40.619584,2021-04-10 04:51:17.000000,3385,[],475,,Twitter for Android,None,None,None
